BuildingType,PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,ListOfAllPropertyUseTypes_list
NonResidential,Distribution Center,98168,GREATER DUWAMISH,1967,1,1,0,50065,"Distribution Center, Parking",31,1529510,836261,693249,43,"['Distribution Center', 'Parking']"
NonResidential,Distribution Center,98108,GREATER DUWAMISH,1969,1,1,0,57540,Distribution Center,45,2582687,1310981,1271706,77,['Distribution Center']
NonResidential,Warehouse,98108,GREATER DUWAMISH,1966,1,1,0,85400,Non-Refrigerated Warehouse,18,1536998,1536998,0,11,['Non-Refrigerated Warehouse']
NonResidential,Warehouse,98108,GREATER DUWAMISH,1966,1,1,0,55700,Non-Refrigerated Warehouse,9,519806,519806,0,4,['Non-Refrigerated Warehouse']
NonResidential,Small- and Mid-Sized Office,98108,GREATER DUWAMISH,1964,1,1,0,53250,"Office, Parking",34,1794187,1048173,746014,47,"['Office', 'Parking']"
NonResidential,Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1987,1,6,28427,50245,Office,28,2179720,1888502,291217,29,['Office']
NonResidential,Warehouse,98133,NORTHWEST,1986,1,3,0,64660,Non-Refrigerated Warehouse,5,325513,237813,87700,6,['Non-Refrigerated Warehouse']
NonResidential,Mixed Use Property,98122,EAST,1927,1,2,19928,55916,"Office, Other, Parking",65,3684188,3406851,277337,38,"['Office', 'Other', 'Parking']"
NonResidential,Distribution Center,98134,GREATER DUWAMISH,1968,1,1,0,161678,Distribution Center,58,9357230,6332002,3025227,205,['Distribution Center']
NonResidential,Distribution Center,98134,GREATER DUWAMISH,1949,1,1,0,101101,Distribution Center,216,21795830,21779250,16577,153,['Distribution Center']
NonResidential,Distribution Center,98134,GREATER DUWAMISH,1980,1,1,0,52613,Distribution Center,18,1061458,527872,533586,32,['Distribution Center']
NonResidential,Other,98134,GREATER DUWAMISH,1940,1,1,0,56608,"Office, Other",90,5094197,4253264,840932,74,"['Office', 'Other']"
NonResidential,Refrigerated Warehouse,98134,GREATER DUWAMISH,1953,1,1,0,104099,"Office, Parking, Refrigerated Warehouse",170,17695420,17283711,411705,142,"['Office', 'Parking', 'Refrigerated Warehouse']"
NonResidential,Supermarket / Grocery Store,98103,NORTHWEST,2003,1,1,7450,50734,"Parking, Supermarket/Grocery Store",284,14715262,7956442,6758820,414,"['Parking', 'Supermarket/Grocery Store']"
NonResidential,Supermarket / Grocery Store,98155,NORTH,1980,1,1,0,58480,Supermarket/Grocery Store,249,11054535,6817771,4236763,273,['Supermarket/Grocery Store']
NonResidential,Large Office,98109,LAKE UNION,2005,1,6,124800,211900,"Office, Parking, Retail Store",42,9058916,7877393,0,55,"['Office', 'Parking', 'Retail Store']"
NonResidential,Retail Store,98109,LAKE UNION,1996,1,4,159994,104014,Retail Store,100,9937707,7307906,2629800,191,['Retail Store']
NonResidential,Small- and Mid-Sized Office,98144,CENTRAL,1914,1,2,0,62220,"Office, Other - Services, Parking",88,5444254,5431426,12827,39,"['Office', 'Other - Services', 'Parking']"
NonResidential,Small- and Mid-Sized Office,98144,GREATER DUWAMISH,1970,1,1,0,65430,"Office, Other",46,3181046,1705793,1475252,90,"['Office', 'Other']"
NonResidential,Large Office,98105,NORTHEAST,2006,1,3,42440,59850,"Office, Parking",72,6062770,5913177,149593,49,"['Office', 'Parking']"
NonResidential,Other,98122,CENTRAL,1926,1,3,0,80004,Other,163,12232124,12232122,0,85,['Other']
NonResidential,Warehouse,98108,GREATER DUWAMISH,1991,1,2,0,323916,"Non-Refrigerated Warehouse, Office",25,8024064,3548085,4475979,262,"['Non-Refrigerated Warehouse', 'Office']"
NonResidential,Mixed Use Property,98144,GREATER DUWAMISH,1932,1,14,0,304052,"Medical Office, Office, Parking",69,21027396,18843504,2183891,247,"['Medical Office', 'Office', 'Parking']"
NonResidential,Small- and Mid-Sized Office,98102,LAKE UNION,1978,1,4,31210,54175,"Data Center, Office, Parking",91,4855036,4855036,0,34,"['Data Center', 'Office', 'Parking']"
NonResidential,Distribution Center,98108,GREATER DUWAMISH,1989,1,2,0,98024,"Distribution Center, Office",20,1988334,1373037,615298,42,"['Distribution Center', 'Office']"
NonResidential,Mixed Use Property,98109,LAKE UNION,1928,1,1,15000,50000,"Office, Other, Parking",87,2603931,1612547,991384,64,"['Office', 'Other', 'Parking']"
NonResidential,Large Office,98109,LAKE UNION,1990,1,5,66620,77953,"Office, Parking",65,5135040,5135039,0,36,"['Office', 'Parking']"
NonResidential,Retail Store,98125,NORTH,1950,1,2,0,302812,Retail Store,24,7290824,5590290,1700534,129,['Retail Store']
NonResidential,Small- and Mid-Sized Office,98133,NORTHWEST,1974,1,5,0,86400,Office,116,9080022,4089680,4990341,294,['Office']
NonResidential,Other,98125,NORTH,1969,1,2,0,98539,Strip Mall,55,5450442,5266334,184107,46,['Strip Mall']
NonResidential,Small- and Mid-Sized Office,98144,NORTHWEST,1981,1,6,0,86483,"Office, Parking",74,6361236,6361236,0,44,"['Office', 'Parking']"
NonResidential,Distribution Center,98106,DELRIDGE,1976,1,1,0,51600,"Distribution Center, Office",22,1124543,815508,309035,22,"['Distribution Center', 'Office']"
NonResidential,Warehouse,98106,DELRIDGE,1968,1,1,0,140520,Non-Refrigerated Warehouse,16,2225512,1310524,914988,58,['Non-Refrigerated Warehouse']
NonResidential,Large Office,98109,MAGNOLIA / QUEEN ANNE,1986,1,5,62380,91649,"Office, Parking",51,4636396,4060681,575715,59,"['Office', 'Parking']"
NonResidential,Other,98133,NORTHWEST,2005,1,3,91935,69854,"Medical Office, Parking",100,6963616,6947606,16010,49,"['Medical Office', 'Parking']"
NonResidential,Medical Office,98133,NORTHWEST,2005,1,3,0,63909,"Medical Office, Retail Store",75,4765754,4765753,0,33,"['Medical Office', 'Retail Store']"
NonResidential,Warehouse,98103,NORTHWEST,1948,1,2,0,53472,"Non-Refrigerated Warehouse, Office",17,971156,381025,590131,34,"['Non-Refrigerated Warehouse', 'Office']"
NonResidential,Warehouse,98108,GREATER DUWAMISH,1980,1,1,0,50417,Non-Refrigerated Warehouse,37,1847401,855017,992384,59,['Non-Refrigerated Warehouse']
NonResidential,Medical Office,98133,NORTHWEST,1961,1,3,0,133298,Medical Office,117,15640994,11600182,4040810,295,['Medical Office']
NonResidential,Retail Store,98125,NORTH,1965,1,2,0,168619,Retail Store,37,6455828,5456882,998946,91,['Retail Store']
NonResidential,Mixed Use Property,98102,LAKE UNION,2002,1,5,113318,138509,"Laboratory, Office, Parking",280,47102428,29154854,17947572,1156,"['Laboratory', 'Office', 'Parking']"
NonResidential,Large Office,98109,LAKE UNION,2000,1,4,71385,104500,"Office, Parking",62,6486378,6486377,0,45,"['Office', 'Parking']"
NonResidential,Warehouse,98134,GREATER DUWAMISH,1969,1,2,0,104786,Non-Refrigerated Warehouse,10,1028377,666718,361659,24,['Non-Refrigerated Warehouse']
NonResidential,Other,98134,GREATER DUWAMISH,2000,1,1,41600,11440,Other,34,1770028,955967,814060,50,['Other']
NonResidential,Other,98134,GREATER DUWAMISH,1973,1,1,0,110689,Other,21,2339814,356328,1983486,108,['Other']
NonResidential,Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1948,1,1,0,53620,Office,38,2058955,1890584,168371,22,['Office']
NonResidential,Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1938,1,1,0,50008,Office,64,3202213,2270837,931375,65,['Office']
NonResidential,Large Office,98119,MAGNOLIA / QUEEN ANNE,2009,1,4,100176,191000,"Office, Parking",34,6657348,6585119,72228,50,"['Office', 'Parking']"
NonResidential,Warehouse,98134,GREATER DUWAMISH,1957,1,1,0,50832,"Non-Refrigerated Warehouse, Office",50,2551022,613991,1937032,107,"['Non-Refrigerated Warehouse', 'Office']"
NonResidential,Refrigerated Warehouse,98108,GREATER DUWAMISH,1971,1,1,0,76354,Refrigerated Warehouse,37,2843034,2832924,10109,20,['Refrigerated Warehouse']
NonResidential,Warehouse,98134,GREATER DUWAMISH,1956,1,1,0,98480,Non-Refrigerated Warehouse,29,2831566,2403347,428218,40,['Non-Refrigerated Warehouse']
NonResidential,Mixed Use Property,98103,LAKE UNION,1904,1,2,0,53002,"Multifamily Housing, Parking, Restaurant, Retail Store",64,3441643,2574531,867112,64,"['Multifamily Housing', 'Parking', 'Restaurant', 'Retail Store']"
NonResidential,Mixed Use Property,98102,LAKE UNION,2008,1,3,51218,124700,"Laboratory, Office, Parking",232,22530168,12047762,10482405,641,"['Laboratory', 'Office', 'Parking']"
NonResidential,Other,98102,LAKE UNION,1920,1,3,63782,106003,"Other, Parking",181,19155416,13249663,5905752,406,"['Other', 'Parking']"
NonResidential,Large Office,98109,LAKE UNION,1971,1,11,0,124721,"Food Service, Office, Parking, Restaurant",111,13898181,8069980,5828201,366,"['Food Service', 'Office', 'Parking', 'Restaurant']"
NonResidential,Small- and Mid-Sized Office,98109,LAKE UNION,1970,1,7,0,94002,"Office, Parking",60,5662234,5662234,0,39,"['Office', 'Parking']"
NonResidential,Warehouse,98108,GREATER DUWAMISH,1974,1,1,0,93020,Non-Refrigerated Warehouse,14,1252324,1252324,0,9,['Non-Refrigerated Warehouse']
NonResidential,Other,98121,DOWNTOWN,1946,1,1,0,23000,"Office, Other",31,711118,260639,450480,26,"['Office', 'Other']"
NonResidential,Supermarket / Grocery Store,98118,SOUTHEAST,2002,1,1,0,61053,"Parking, Supermarket/Grocery Store",241,13133225,8474644,4658580,306,"['Parking', 'Supermarket/Grocery Store']"
NonResidential,Large Office,98104,DOWNTOWN,1913,5,7,0,154159,Office,58,11195917,1608768,343050,29,['Office']
NonResidential,Small- and Mid-Sized Office,98104,DOWNTOWN,1904,1,5,0,78920,Office,36,2830675,2830674,0,20,['Office']
NonResidential,Small- and Mid-Sized Office,98104,DOWNTOWN,1906,1,7,0,99440,"Office, Retail Store",74,6606832,4685851,1920981,135,"['Office', 'Retail Store']"
NonResidential,Small- and Mid-Sized Office,98104,DOWNTOWN,1907,1,6,0,73260,Office,45,2853190,2853189,0,20,['Office']
NonResidential,Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,4,0,69817,"Office, Retail Store",36,2178074,1245123,161866,77,"['Office', 'Retail Store']"
NonResidential,Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,4,0,84750,"Enclosed Mall, Office",30,2094725,1846842,247883,26,"['Enclosed Mall', 'Office']"
NonResidential,Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,6,13320,62176,"Office, Restaurant, Retail Store",59,3570162,3570162,0,25,"['Office', 'Restaurant', 'Retail Store']"
NonResidential,Large Office,98104,DOWNTOWN,1900,1,4,0,164380,"Office, Retail Store",53,7655751,6196714,1059498,130,"['Office', 'Retail Store']"
NonResidential,Large Office,98104,DOWNTOWN,1907,1,7,0,160580,Office,27,4336188,3014081,974898,100,['Office']
NonResidential,Small- and Mid-Sized Office,98104,DOWNTOWN,1909,1,6,0,73470,"Non-Refrigerated Warehouse, Office, Retail Store",49,3212269,3212269,0,22,"['Non-Refrigerated Warehouse', 'Office', 'Retail Store']"
Nonresidential COS,Other,98104,DOWNTOWN,1906,1,3,0,67755,"Data Center, Office, Other, Other - Entertainment/Public Assembly",29,1904480,1904480,0,13,"['Data Center', 'Office', 'Other', 'Other - Entertainment/Public Assembly']"
NonResidential,Mixed Use Property,98134,GREATER DUWAMISH,1910,1,3,0,56700,"Distribution Center, Non-Refrigerated Warehouse, Office",42,2371575,2045416,326159,32,"['Distribution Center', 'Non-Refrigerated Warehouse', 'Office']"
NonResidential,Warehouse,98134,GREATER DUWAMISH,1922,1,1,0,82852,"Non-Refrigerated Warehouse, Retail Store",26,2153604,1058065,1095539,66,"['Non-Refrigerated Warehouse', 'Retail Store']"
NonResidential,Other,98134,GREATER DUWAMISH,1953,1,2,0,76442,"Distribution Center, Office, Other",52,3978277,1705403,2272874,133,"['Distribution Center', 'Office', 'Other']"
NonResidential,Distribution Center,98134,GREATER DUWAMISH,1962,1,2,0,92792,"Distribution Center, Office",32,3155496,2024573,1130923,74,"['Distribution Center', 'Office']"
NonResidential,Other,98134,GREATER DUWAMISH,1941,2,2,0,125519,Manufacturing/Industrial Plant,16,2244317,2244317,0,16,['Manufacturing/Industrial Plant']
NonResidential,Large Office,98134,GREATER DUWAMISH,1900,1,4,25800,103200,Office,42,4374646,4374645,0,30,['Office']
NonResidential,Warehouse,98134,GREATER DUWAMISH,1954,1,1,0,78814,Non-Refrigerated Warehouse,11,861973,635127,226846,16,['Non-Refrigerated Warehouse']
NonResidential,Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1904,1,4,0,58970,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking",30,1776412,1152375,624037,41,"['Multifamily Housing', 'Non-Refrigerated Warehouse', 'Office', 'Parking']"
NonResidential,Distribution Center,98134,GREATER DUWAMISH,1910,1,6,10800,64800,"Distribution Center, Office, Parking",44,2688676,2688675,0,19,"['Distribution Center', 'Office', 'Parking']"
NonResidential,Distribution Center,98134,GREATER DUWAMISH,1907,1,4,0,56270,"Distribution Center, Non-Refrigerated Warehouse, Office, Retail Store",19,1056782,1056782,0,7,"['Distribution Center', 'Non-Refrigerated Warehouse', 'Office', 'Retail Store']"
NonResidential,Small- and Mid-Sized Office,98104,DOWNTOWN,1904,1,4,0,66842,"Office, Retail Store",105,5608600,3457540,2151060,138,"['Office', 'Retail Store']"
NonResidential,Small- and Mid-Sized Office,98104,DOWNTOWN,1909,1,6,10800,64488,"Office, Parking",44,2891605,2891229,376,20,"['Office', 'Parking']"
NonResidential,Large Office,98104,DOWNTOWN,1904,1,7,0,184322,"Data Center, Office",53,9722890,9722889,0,68,"['Data Center', 'Office']"
NonResidential,Large Office,98104,DOWNTOWN,2009,1,7,0,287853,"Office, Retail Store",89,25567108,25482582,84524,182,"['Office', 'Retail Store']"
NonResidential,Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1914,1,2,0,64512,Office,95,5968154,2952139,3016015,181,['Office']
NonResidential,Mixed Use Property,98134,GREATER DUWAMISH,2009,1,6,111774,174226,"Distribution Center, Office, Other, Other - Recreation, Parking",366,63835192,63822136,13053,446,"['Distribution Center', 'Office', 'Other', 'Other - Recreation', 'Parking']"
NonResidential,Warehouse,98134,GREATER DUWAMISH,1926,1,7,0,144050,Non-Refrigerated Warehouse,27,3929371,2389825,1539546,98,['Non-Refrigerated Warehouse']
NonResidential,Small- and Mid-Sized Office,98104,GREATER DUWAMISH,1930,1,3,0,60592,Office,84,5049446,4788414,261032,47,['Office']
NonResidential,Retail Store,98134,GREATER DUWAMISH,1993,1,1,0,107930,Retail Store,67,7221482,6136093,1085388,100,['Retail Store']
NonResidential,Warehouse,98134,GREATER DUWAMISH,1926,1,1,0,99084,Non-Refrigerated Warehouse,16,1618110,795088,823022,49,['Non-Refrigerated Warehouse']
NonResidential,Distribution Center,98106,DELRIDGE,1953,1,1,0,72719,Distribution Center,36,2581742,2045435,536307,43,['Distribution Center']
NonResidential,Small- and Mid-Sized Office,98134,EAST,1930,1,4,0,76624,Office,36,2773648,2468547,305100,33,['Office']
NonResidential,Small- and Mid-Sized Office,98105,NORTHEAST,2001,1,6,36583,55123,"Office, Other, Parking",150,8570571,8570570,0,60,"['Office', 'Other', 'Parking']"
NonResidential,Medical Office,98109,LAKE UNION,2008,1,5,39902,89191,"Medical Office, Other, Parking",203,19248732,11800324,7448407,478,"['Medical Office', 'Other', 'Parking']"
NonResidential,Large Office,98106,DELRIDGE,1991,1,5,16221,121885,"Office, Parking",70,8381834,8381833,0,58,"['Office', 'Parking']"
NonResidential,Retail Store,98108,GREATER DUWAMISH,1973,1,1,0,56572,Retail Store,43,2409429,1315085,1094344,67,['Retail Store']
NonResidential,Medical Office,98104,EAST,2004,1,0,0,225982,Medical Office,103,20560622,12744957,0,692,['Medical Office']
NonResidential,Large Office,98104,DOWNTOWN,2000,1,11,0,312512,"Data Center, Office, Restaurant",82,25747022,25619164,127855,185,"['Data Center', 'Office', 'Restaurant']"
NonResidential,Small- and Mid-Sized Office,98101,DOWNTOWN,1926,1,6,0,97720,"Data Center, Office, Retail Store",34,2478025,2478025,0,17,"['Data Center', 'Office', 'Retail Store']"
NonResidential,Medical Office,98104,EAST,1985,1,10,206580,215923,Medical Office,87,17254810,16260654,0,190,['Medical Office']
NonResidential,Medical Office,98122,CENTRAL,1987,1,7,0,94500,Medical Office,51,5792926,5792925,0,40,['Medical Office']
NonResidential,Retail Store,98106,DELRIDGE,2005,1,1,0,94713,Retail Store,49,5417598,4182901,1234697,95,['Retail Store']
NonResidential,Medical Office,98122,EAST,2008,1,9,101342,201560,"Medical Office, Parking",73,14751117,14155468,595647,130,"['Medical Office', 'Parking']"
NonResidential,Medical Office,98104,EAST,1973,1,19,156407,163504,"Medical Office, Parking",88,15067340,11473398,0,357,"['Medical Office', 'Parking']"
NonResidential,Large Office,98104,DOWNTOWN,1900,1,6,0,205521,"Office, Retail Store",57,8138616,4325997,1743952,282,"['Office', 'Retail Store']"
NonResidential,Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,6,0,56700,"Office, Retail Store",54,3065954,3065954,0,21,"['Office', 'Retail Store']"
NonResidential,Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1925,1,4,0,72000,Office,38,2729168,2632591,96576,23,['Office']
NonResidential,Large Office,98109,MAGNOLIA / QUEEN ANNE,2000,1,4,94892,96254,"Office, Parking",50,5101504,5101504,0,36,"['Office', 'Parking']"
NonResidential,Other,98121,DELRIDGE,2001,1,3,11527,57236,"Other - Recreation, Parking, Swimming Pool",181,9029489,3670762,5358726,310,"['Other - Recreation', 'Parking', 'Swimming Pool']"
NonResidential,Other,98118,SOUTHEAST,1994,3,1,0,102133,"Parking, Strip Mall",193,20725996,12356956,8369038,531,"['Parking', 'Strip Mall']"
NonResidential,Large Office,98101,DOWNTOWN,2008,1,14,0,362046,"Office, Other, Parking",67,15725581,15566951,158627,117,"['Office', 'Other', 'Parking']"
NonResidential,Other,98109,MAGNOLIA / QUEEN ANNE,1994,3,2,0,81336,Lifestyle Center,161,13085297,9206777,3878519,270,['Lifestyle Center']
NonResidential,Other,98121,DOWNTOWN,1983,1,6,197130,78852,"Office, Parking",66,5233554,5233553,0,36,"['Office', 'Parking']"
NonResidential,Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1982,1,5,0,98668,Office,44,4391348,4391348,0,31,['Office']
NonResidential,Large Office,98134,GREATER DUWAMISH,2007,1,1,28381,130550,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking",68,8751704,7938248,813455,99,"['Multifamily Housing', 'Non-Refrigerated Warehouse', 'Office', 'Parking']"
NonResidential,Large Office,98119,MAGNOLIA / QUEEN ANNE,1978,1,1,0,105100,Office,210,22078064,17657706,4420357,358,['Office']
NonResidential,Retail Store,98121,MAGNOLIA / QUEEN ANNE,1978,1,1,0,50660,Retail Store,52,2661488,1747974,913514,61,['Retail Store']
NonResidential,Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1937,1,2,0,61929,Office,55,2203026,1328054,874972,56,['Office']
NonResidential,Large Office,98119,MAGNOLIA / QUEEN ANNE,2000,1,4,55000,110111,"Data Center, Office, Parking",231,25478086,25478083,0,178,"['Data Center', 'Office', 'Parking']"
NonResidential,Large Office,98119,MAGNOLIA / QUEEN ANNE,2000,1,4,42500,87051,"Data Center, Office, Parking",312,27137190,27137187,0,189,"['Data Center', 'Office', 'Parking']"
NonResidential,Small- and Mid-Sized Office,98121,DOWNTOWN,1925,1,3,0,20565,Office,39,802312,802312,0,6,['Office']
NonResidential,Large Office,98119,MAGNOLIA / QUEEN ANNE,2000,1,5,55971,103966,"Office, Parking",74,7857972,7857972,0,55,"['Office', 'Parking']"
NonResidential,Large Office,98119,MAGNOLIA / QUEEN ANNE,2008,1,5,46763,137201,"Data Center, Office, Parking",108,14856199,14856198,0,104,"['Data Center', 'Office', 'Parking']"
NonResidential,Large Office,98119,MAGNOLIA / QUEEN ANNE,1986,1,5,78848,129362,"Office, Parking",50,5514308,3817281,1697027,117,"['Office', 'Parking']"
NonResidential,Large Office,98121,DOWNTOWN,1986,1,7,80283,197203,"Office, Other, Parking",66,12729858,12729856,0,89,"['Office', 'Other', 'Parking']"
NonResidential,Large Office,98121,DOWNTOWN,1993,1,3,0,187130,"Non-Refrigerated Warehouse, Office, Other, Other - Recreation, Other - Services, Restaurant",53,10053489,10053488,0,70,"['Non-Refrigerated Warehouse', 'Office', 'Other', 'Other - Recreation', 'Other - Services', 'Restaurant']"
NonResidential,Large Office,98121,DOWNTOWN,2000,1,5,117867,133177,"Data Center, Office",124,17186624,17186623,0,120,"['Data Center', 'Office']"
NonResidential,Warehouse,98101,DOWNTOWN,1912,1,5,0,154330,Non-Refrigerated Warehouse,13,1262235,1262235,0,9,['Non-Refrigerated Warehouse']
NonResidential,Large Office,98006,DOWNTOWN,1918,1,6,14690,93555,"Adult Education, Fitness Center/Health Club/Gym, Office, Other - Restaurant/Bar, Parking, Retail Store",46,4515180,4248918,0,50,"['Adult Education', 'Fitness Center/Health Club/Gym', 'Office', 'Other - Restaurant/Bar', 'Parking', 'Retail Store']"
NonResidential,Large Office,98104,DOWNTOWN,1905,1,6,0,167860,"Data Center, Office, Retail Store",52,6797647,6797646,0,47,"['Data Center', 'Office', 'Retail Store']"
NonResidential,Large Office,98104,DOWNTOWN,1910,1,6,0,112560,"Office, Retail Store",51,4946798,3574020,1372778,98,"['Office', 'Retail Store']"
NonResidential,Retail Store,98104,DOWNTOWN,1910,1,6,0,86204,Retail Store,44,3241917,2235899,1006018,69,['Retail Store']
Nonresidential COS,Warehouse,98134,GREATER DUWAMISH,1985,1,2,0,145158,"Non-Refrigerated Warehouse, Office, Other",52,8384523,7062138,1322385,119,"['Non-Refrigerated Warehouse', 'Office', 'Other']"
NonResidential,Large Office,98134,GREATER DUWAMISH,1951,1,2,0,112896,"Office, Parking",93,10287986,8429189,1858797,157,"['Office', 'Parking']"
NonResidential,Distribution Center,98134,GREATER DUWAMISH,1960,1,1,0,110613,"Distribution Center, Office",9,1015060,1015060,0,7,"['Distribution Center', 'Office']"
NonResidential,Warehouse,98103,GREATER DUWAMISH,1951,1,4,0,149881,"Non-Refrigerated Warehouse, Office",16,2417401,705059,1712342,96,"['Non-Refrigerated Warehouse', 'Office']"
NonResidential,Warehouse,98121,GREATER DUWAMISH,1951,1,3,0,98220,Non-Refrigerated Warehouse,50,6468090,5813591,654498,75,['Non-Refrigerated Warehouse']
NonResidential,Distribution Center,98134,GREATER DUWAMISH,1970,1,1,0,84420,"Distribution Center, Office, Retail Store",35,2848317,2848317,0,20,"['Distribution Center', 'Office', 'Retail Store']"
NonResidential,Distribution Center,98134,GREATER DUWAMISH,1961,1,1,0,73335,"Distribution Center, Parking",71,5197118,2606839,2590279,156,"['Distribution Center', 'Parking']"
NonResidential,Distribution Center,98134,GREATER DUWAMISH,1928,1,2,0,56876,"Distribution Center, Office, Retail Store",32,1791716,1011283,780432,48,"['Distribution Center', 'Office', 'Retail Store']"
NonResidential,Warehouse,98134,GREATER DUWAMISH,1931,1,2,0,61200,Non-Refrigerated Warehouse,80,4912143,1782902,3129241,179,['Non-Refrigerated Warehouse']
NonResidential,Distribution Center,98134,GREATER DUWAMISH,1987,1,1,0,111908,Distribution Center,14,1555420,1050508,504912,34,['Distribution Center']
NonResidential,Other,98134,GREATER DUWAMISH,1986,3,2,0,63644,"Other - Public Services, Parking",104,6858534,4242711,2615822,168,"['Other - Public Services', 'Parking']"
NonResidential,Mixed Use Property,98134,GREATER DUWAMISH,1930,3,2,18860,89893,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking, Retail Store, Worship Facility",34,3639670,3639670,0,25,"['Multifamily Housing', 'Non-Refrigerated Warehouse', 'Office', 'Parking', 'Retail Store', 'Worship Facility']"
NonResidential,Supermarket / Grocery Store,98117,NORTHWEST,1970,1,1,35545,106345,"Parking, Supermarket/Grocery Store",100,16865978,13051820,3814156,294,"['Parking', 'Supermarket/Grocery Store']"
NonResidential,Small- and Mid-Sized Office,98107,BALLARD,2001,1,4,21055,71037,Office,69,4817062,4817062,0,34,['Office']
NonResidential,Warehouse,98199,MAGNOLIA / QUEEN ANNE,1974,1,3,0,56259,"Non-Refrigerated Warehouse, Office, Retail Store",42,2346572,817697,1528874,87,"['Non-Refrigerated Warehouse', 'Office', 'Retail Store']"
NonResidential,Other,98105,NORTHEAST,2006,1,6,0,143439,"Other, Parking",214,25631512,14100771,11530741,711,"['Other', 'Parking']"
NonResidential,Large Office,98103,LAKE UNION,2008,1,4,88855,113768,"Fitness Center/Health Club/Gym, Office, Parking",80,8873485,8873484,0,62,"['Fitness Center/Health Club/Gym', 'Office', 'Parking']"
NonResidential,Small- and Mid-Sized Office,98103,LAKE UNION,2000,1,2,25800,51374,Office,71,5481549,5481548,0,38,['Office']
NonResidential,Large Office,98109,MAGNOLIA / QUEEN ANNE,1998,1,5,0,110524,"Office, Other, Parking",64,6859198,6859197,0,48,"['Office', 'Other', 'Parking']"
NonResidential,Mixed Use Property,98109,LAKE UNION,2008,1,5,103650,183574,"Data Center, Office, Other, Parking",140,21042926,17407502,3635421,314,"['Data Center', 'Office', 'Other', 'Parking']"
NonResidential,Laboratory,98102,LAKE UNION,1999,1,4,18382,97366,Laboratory,374,36436388,16913185,19523202,1155,['Laboratory']
NonResidential,Large Office,98119,MAGNOLIA / QUEEN ANNE,2000,1,7,84689,157186,"Office, Parking",53,8655604,8488392,167210,68,"['Office', 'Parking']"
NonResidential,Large Office,98109,MAGNOLIA / QUEEN ANNE,1974,1,5,18720,84210,"Office, Parking",53,4750799,4059275,691523,65,"['Office', 'Parking']"
NonResidential,Small- and Mid-Sized Office,98121,DOWNTOWN,1902,1,3,0,76893,"Office, Parking, Retail Store",113,12029600,8209260,3820339,260,"['Office', 'Parking', 'Retail Store']"
NonResidential,Large Office,98121,DOWNTOWN,1975,1,8,23630,126370,"Office, Parking",74,9343428,8155743,1187684,120,"['Office', 'Parking']"
NonResidential,Large Office,98101,DOWNTOWN,1953,1,7,0,274362,Office,60,16540550,15836054,704494,148,['Office']
NonResidential,Large Office,98121,DOWNTOWN,1983,1,15,116280,261722,"Office, Parking",66,17750994,15083312,2667680,247,"['Office', 'Parking']"
NonResidential,Large Office,98121,DOWNTOWN,1963,1,11,0,169020,"Bar/Nightclub, Office, Personal Services (Health/Beauty, Dry Cleaning, etc)",66,11480494,7209495,1383432,347,"['Bar/Nightclub', 'Office', 'Personal Services (Health/Beauty', 'Dry Cleaning', 'etc)']"
NonResidential,Large Office,98101,DOWNTOWN,1981,1,19,89778,293737,"Medical Office, Office, Parking",48,15878689,15878687,0,111,"['Medical Office', 'Office', 'Parking']"
NonResidential,Medical Office,98101,DOWNTOWN,1925,1,18,28870,335064,"Medical Office, Parking, Retail Store",73,22104512,16002341,11981,582,"['Medical Office', 'Parking', 'Retail Store']"
NonResidential,Retail Store,98101,DOWNTOWN,1929,1,4,0,78920,Retail Store,105,8303666,7177346,1126320,110,['Retail Store']
NonResidential,Large Office,98121,DOWNTOWN,1979,1,7,87160,43983,"Office, Retail Store",40,5177270,4871126,1416041,109,"['Office', 'Retail Store']"
NonResidential,Mixed Use Property,98122,EAST,1908,1,4,0,55520,"Office, Performing Arts, Restaurant, Retail Store, Self-Storage Facility",66,3686962,973907,2713055,151,"['Office', 'Performing Arts', 'Restaurant', 'Retail Store', 'Self-Storage Facility']"
