PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,z_SiteEnergyUse(kBtu),z_TotalGHGEmissions
Warehouse,98199,MAGNOLIA / QUEEN ANNE,1974,1,3,0,56259,"Non-Refrigerated Warehouse, Office, Retail Store",42,2346572,817697,1528874,87,-0.20684248340810507,0.43350174602409935
Large Office,98103,LAKE UNION,2008,1,4,88855,113768,"Fitness Center/Health Club/Gym, Office, Parking",80,8873485,8873484,0,62,2.490236240366359,0.03236567715740507
Small- and Mid-Sized Office,98103,LAKE UNION,2000,1,2,25800,51374,Office,71,5481549,5481548,0,38,1.0886060335588437,-0.3527249489546215
Large Office,98109,MAGNOLIA / QUEEN ANNE,1998,1,5,0,110524,"Office, Other, Parking",64,6859198,6859197,0,48,1.6578840071934189,-0.19227052140794373
Large Office,98119,MAGNOLIA / QUEEN ANNE,2000,1,7,84689,157186,"Office, Parking",53,8655604,8488392,167210,68,2.4002025277345678,0.1286383336854117
Large Office,98109,MAGNOLIA / QUEEN ANNE,1974,1,5,18720,84210,"Office, Parking",53,4750799,4059275,691523,65,0.7866424134832903,0.08050200542140838
Small- and Mid-Sized Office,98121,DOWNTOWN,1902,1,3,0,76893,"Office, Parking, Retail Store",113,12029600,8209260,3820339,260,3.7944194915121066,3.2093633425816237
Large Office,98121,DOWNTOWN,1975,1,8,23630,126370,"Office, Parking",74,9343428,8155743,1187684,120,2.6844280836905683,0.9630013569281358
Retail Store,98101,DOWNTOWN,1929,1,4,0,78920,Retail Store,105,8303666,7177346,1126320,110,2.254773211932789,0.8025469293814581
Large Office,98121,DOWNTOWN,1979,1,7,87160,43983,"Office, Retail Store",40,5177270,4871126,1416041,109,0.9628705722479038,0.7865014866267903
Mixed Use Property,98122,EAST,1908,1,4,0,55520,"Office, Performing Arts, Restaurant, Retail Store, Self-Storage Facility",66,3686962,973907,2713055,151,0.34703916792692174,1.4604100823228368
Large Office,98101,DOWNTOWN,1908,1,10,0,132998,"Office, Retail Store",27,3775188,2244507,0,134,0.3834962905335393,1.1876375554934846
Retail Store,98101,DOWNTOWN,1940,1,3,0,83118,Retail Store,54,2443142,2209419,233722,28,-0.166937417666475,-0.5131793765012992
Retail Store,98101,DOWNTOWN,1924,1,3,0,77555,Retail Store,106,7802206,7802052,153,54,2.0475577799477227,-0.09599786487993711
Small- and Mid-Sized Office,98121,DOWNTOWN,1909,1,6,0,51218,"Office, Restaurant",56,2886142,2886141,0,20,0.016120924712546697,-0.6415429185386413
Large Office,98101,DOWNTOWN,1910,1,7,0,122356,"Data Center, Office, Retail Store",41,4585070,4371815,213255,42,0.7181591718938256,-0.28854317793595036
Small- and Mid-Sized Office,98104,DOWNTOWN,1921,1,3,0,52298,Office,39,1968655,1968655,0,14,-0.3630069519788788,-0.737815575066648
Large Office,98101,DOWNTOWN,1911,1,17,0,116640,"Financial Office, Food Service, Office, Other",70,6758566,5021914,0,169,1.6163004245516905,1.7492280519068566
Medical Office,98104,EAST,1988,1,5,99314,89025,"Medical Office, Parking",104,8523594,7873601,649993,89,2.345652794602616,0.4655926315334349
University,98122,CENTRAL,1916,1,2,0,60122,"College/University, Parking",12,690530,593029,97500,9,-0.8911591954397977,-0.8180427888399868
Small- and Mid-Sized Office,98104,DOWNTOWN,1910,1,6,13700,81300,"Office, Parking",48,4052720,3983832,68888,31,0.49817924285212767,-0.46504304823729586
Other,98104,GREATER DUWAMISH,1939,1,2,0,58492,Other,27,1594422,717806,876616,52,-0.5176491024157375,-0.12808875038927264
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1907,1,6,0,62370,"Office, Restaurant",73,4353025,4353024,0,30,0.6222725509968954,-0.4810884909919636
Warehouse,98134,GREATER DUWAMISH,1960,1,1,0,73296,"Non-Refrigerated Warehouse, Parking",30,2356377,1117577,1238800,74,-0.202790819645066,0.22491099021341832
Other,98134,GREATER DUWAMISH,1985,1,1,0,66133,"Non-Refrigerated Warehouse, Office, Other",82,6345010,5354420,990589,90,1.4454090569650118,0.4816380742881027
Warehouse,98134,GREATER DUWAMISH,1952,1,2,0,115668,"Data Center, Non-Refrigerated Warehouse, Office, Retail Store",31,3534691,1657935,1876755,111,0.28411709828268694,0.8185923721361259
Other,98108,GREATER DUWAMISH,1970,1,1,0,141686,Other,44,6673138,6673137,0,47,1.58099950339423,-0.2083159641626115
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1950,1,1,0,93610,"Data Center, Office",61,6235947,3877758,2358189,152,1.4003415806785935,1.4764555250775044
Large Office,98108,GREATER DUWAMISH,1973,1,2,0,156188,"Office, Parking",48,6843855,6557481,286373,61,1.6515439075385174,0.016320234402737298
Warehouse,98108,GREATER DUWAMISH,1966,1,1,0,115620,Non-Refrigerated Warehouse,34,1951856,1951856,0,14,-0.3699487061405609,-0.737815575066648
Distribution Center,98108,GREATER DUWAMISH,1969,1,1,0,71718,Distribution Center,2,151754,151754,0,1,-1.1137945035066144,-0.9464063308773291
Warehouse,98108,GREATER DUWAMISH,1969,1,1,0,55450,"Non-Refrigerated Warehouse, Office",78,4345698,2149197,2196501,132,0.6192448569232812,1.155546669984149
Distribution Center,98108,GREATER DUWAMISH,1979,1,1,0,54880,Distribution Center,50,2763597,1240788,1522809,90,-0.03451764090108132,0.4816380742881027
Retail Store,98126,DELRIDGE,1992,1,1,0,102500,"Parking, Retail Store",73,7305474,4972873,2332600,159,1.8422960722126975,1.5887736243601789
Other,98105,NORTHEAST,2002,1,6,272900,88498,"Non-Refrigerated Warehouse, Other, Parking, Retail Store",108,8915523,7663584,1251938,120,2.5076073613526555,0.9630013569281358
Supermarket / Grocery Store,98144,GREATER DUWAMISH,1963,1,1,0,50785,Supermarket/Grocery Store,272,7439009,4327325,3111684,195,1.8974759723246222,2.1664095635282186
Mixed Use Property,98104,DOWNTOWN,1902,1,4,0,73320,"Non-Refrigerated Warehouse, Office, Retail Store",20,1141190,681682,459508,29,-0.7049355553121907,-0.4971339337466314
Large Office,98119,MAGNOLIA / QUEEN ANNE,2008,1,4,100176,142510,"Office, Parking",65,9683979,9683978,0,68,2.825152014967133,0.1286383336854117
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,6,15840,79920,Office,56,5392618,4593859,798758,74,1.0518575878565666,0.22491099021341832
Warehouse,98134,GREATER DUWAMISH,1946,1,1,0,179413,Non-Refrigerated Warehouse,19,3459543,3459542,0,24,0.25306412240661763,-0.5773611475199703
Warehouse,98134,GREATER DUWAMISH,1917,1,1,0,65288,"Non-Refrigerated Warehouse, Office, Other - Services, Retail Store",9,605971,605971,0,4,-0.9261010247247361,-0.8982700026133257
Warehouse,98106,DELRIDGE,1966,1,1,0,170632,"Non-Refrigerated Warehouse, Office",4,602245,602245,0,4,-0.9276406982771158,-0.8982700026133257
Mixed Use Property,98105,NORTHEAST,2009,1,6,54300,68100,"Multifamily Housing, Office, Parking, Retail Store",68,4865552,3880094,985457,79,0.8340611357474436,0.3051382039867572
Retail Store,98105,NORTHEAST,1956,1,2,0,93803,"Non-Refrigerated Warehouse, Other, Restaurant, Retail Store",59,5453438,3884335,1569103,110,1.0769898866906344,0.8025469293814581
Warehouse,98118,GREATER DUWAMISH,1966,1,2,0,123000,"Non-Refrigerated Warehouse, Office",22,3004271,3004271,0,21,0.06493469204187277,-0.6254974757839735
Warehouse,98136,GREATER DUWAMISH,1978,1,1,0,60448,"Non-Refrigerated Warehouse, Office",17,1052245,620853,431392,27,-0.7416897861539561,-0.529224819255967
Mixed Use Property,98122,EAST,2004,1,4,21612,55800,"Office, Other, Parking",58,2655388,2604783,50604,21,-0.07923222367871463,-0.6254974757839735
Other,98115,NORTH,1987,1,5,0,90266,Financial Office,89,7771934,7771933,0,54,2.0350486554770733,-0.09599786487993711
Warehouse,98107,BALLARD,2004,1,4,6458,80874,Non-Refrigerated Warehouse,13,1165599,1027649,137950,14,-0.6948491646143813,-0.737815575066648
Hotel,98109,MAGNOLIA / QUEEN ANNE,2008,1,5,21273,90583,"Hotel, Parking, Restaurant, Swimming Pool",98,9444484,4825247,4619236,279,2.726186873413942,3.5142267549203114
Warehouse,98122,EAST,1988,1,4,0,132828,Non-Refrigerated Warehouse,8,1083730,1083729,0,8,-0.7286794206690723,-0.8340882315946546
University,98144,CENTRAL,1974,2,4,0,114000,College/University,66,7575080,6341815,1233264,110,1.9537038091324233,0.8025469293814581
Warehouse,98053,SOUTHWEST,1965,1,1,0,152365,"Non-Refrigerated Warehouse, Office",7,1069750,948207,121543,13,-0.7344562956723651,-0.7538610178213158
Retail Store,98108,GREATER DUWAMISH,1958,1,1,0,74178,Retail Store,73,5402181,3296324,2105856,135,1.0558092513513082,1.2036829982481525
Warehouse,98125,NORTH,1987,1,4,0,80360,Non-Refrigerated Warehouse,8,686019,437019,249000,16,-0.89302325002777,-0.7057246895573124
K-12 School,98116,SOUTHWEST,1950,1,1,0,61183,K-12 School,38,2424724,720406,1704318,96,-0.17454818188755133,0.5779107308161093
Supermarket / Grocery Store,98122,EAST,1996,1,3,0,119190,Supermarket/Grocery Store,218,10077532,5813407,4264124,267,2.987777657897813,3.3216814418642984
Other,98134,GREATER DUWAMISH,2008,1,2,0,51856,"Automobile Dealership, Office",37,1938613,1938613,0,14,-0.3754210348722209,-0.737815575066648
Mixed Use Property,98134,GREATER DUWAMISH,1921,1,3,12586,53552,"Manufacturing/Industrial Plant, Office, Parking, Retail Store",140,7070998,7070998,0,49,1.745404903166053,-0.17622507865327597
Low-Rise Multifamily,98103,LAKE UNION,2000,1,3,36093,56986,Multifamily Housing,22,1997182,1744199,252982,26,-0.3512189038230179,-0.5452702620106347
Worship Facility,98115,NORTHEAST,1957,1,2,0,22220,Worship Facility,35,778356,208060,570296,32,-0.8548673625328452,-0.44899760548262807
K-12 School,98115,NORTHEAST,1955,1,1,0,46732,K-12 School,46,2331953,753694,1578259,89,-0.2128834087066128,0.4655926315334349
Mixed Use Property,98108,GREATER DUWAMISH,1962,1,1,0,44700,"Non-Refrigerated Warehouse, Office, Other",43,2042771,1689972,352799,31,-0.33238042352794517,-0.46504304823729586
Warehouse,98108,GREATER DUWAMISH,1976,1,1,0,44100,Non-Refrigerated Warehouse,40,1618916,1618916,0,11,-0.5075275876567493,-0.7859519033306512
Distribution Center,98108,GREATER DUWAMISH,1965,1,1,0,27800,Distribution Center,44,1224186,880605,343581,24,-0.6706395955286935,-0.5773611475199703
Warehouse,98134,GREATER DUWAMISH,2001,1,1,0,46340,Non-Refrigerated Warehouse,55,2564004,2564004,0,18,-0.1169943084641876,-0.6736338040479769
Other,98155,GREATER DUWAMISH,1994,3,1,0,22800,Manufacturing/Industrial Plant,98,2222098,358020,1864077,102,-0.2582781585983677,0.674183387344116
Small- and Mid-Sized Office,98122,CENTRAL,1910,1,3,0,38460,Office,51,1950713,1464669,486044,36,-0.3704210214573537,-0.384815834463957
Worship Facility,98103,NORTHWEST,1922,1,2,0,21022,Worship Facility,45,945246,137902,807343,44,-0.7859043675901027,-0.2564522924266148
K-12 School,98116,SOUTHWEST,1954,1,2,0,51489,K-12 School,38,1984068,750281,1233786,71,-0.35663792662653593,0.17677466194941502
Distribution Center,98118,GREATER DUWAMISH,1967,1,1,0,48001,Distribution Center,45,2143651,593580,1550071,86,-0.2906943612724244,0.4174563032694316
Warehouse,98118,GREATER DUWAMISH,1979,1,1,0,26380,"Non-Refrigerated Warehouse, Office",19,509124,508416,708,4,-0.9661205535833842,-0.8982700026133257
Warehouse,98118,GREATER DUWAMISH,1969,1,1,0,37351,"Non-Refrigerated Warehouse, Office",65,2559462,1276462,1283000,77,-0.11887117300388401,0.27304731847742164
Warehouse,98118,GREATER DUWAMISH,1981,1,1,0,30375,Non-Refrigerated Warehouse,11,345867,345867,0,2,-1.033582304828919,-0.9303608881226613
Warehouse,98118,GREATER DUWAMISH,1979,1,1,0,30004,"Non-Refrigerated Warehouse, Office",13,369292,369291,0,3,-1.0239025267922857,-0.9143154453679935
Worship Facility,98117,BALLARD,1914,1,2,0,33589,Worship Facility,15,509836,111626,398210,22,-0.9658263379179804,-0.6094520330293058
Small- and Mid-Sized Office,98107,BALLARD,1979,1,3,0,43500,Office,74,3220635,3216396,4239,23,0.15434154348768464,-0.593406590274638
Small- and Mid-Sized Office,98107,BALLARD,1978,1,2,0,28492,Office,67,1896299,1363957,532342,38,-0.3929062057512862,-0.3527249489546215
Small- and Mid-Sized Office,98107,BALLARD,1963,1,3,0,22325,"Medical Office, Office, Other, Other - Services, Parking, Retail Store",63,1401316,1401316,0,10,-0.5974451842745261,-0.801997346085319
Restaurant,98107,BALLARD,1977,1,3,0,22719,"Parking, Restaurant",60,1358519,1358519,0,9,-0.615129942465937,-0.8180427888399868
Laboratory,98101,DOWNTOWN,1946,1,2,22000,22588,Laboratory,105,7251589,7251588,0,51,1.820029483546572,-0.1441341931439404
K-12 School,98122,CENTRAL,1925,1,2,0,37327,K-12 School,40,1967476,724560,1242916,71,-0.36349414336864144,0.17677466194941502
Retail Store,98144,DOWNTOWN,1917,1,2,0,147545,Retail Store,46,6787070,4133510,2653559,170,1.6280789685498205,1.7652734946615245
Other,98115,NORTH,1923,1,2,0,21462,"Office, Other",43,1114385,1114384,0,8,-0.7160120313109936,-0.8340882315946546
K-12 School,98103,NORTHWEST,1930,1,2,0,47602,K-12 School,49,2249592,777836,1471756,84,-0.2469169710918918,0.38536541776009603
Other,98013,NORTHWEST,1917,1,2,0,28072,Social/Meeting Hall,57,1362523,192436,1170087,63,-0.61347539257229,0.04841111991207284
Restaurant,98121,DOWNTOWN,1955,1,2,0,31020,Restaurant,160,4970047,1221601,3748445,208,0.8772410036636871,2.3750003193388998
Small- and Mid-Sized Office,98121,DOWNTOWN,1917,1,2,0,21600,"Office, Other - Lodging/Residential",76,1636649,1241985,394664,30,-0.5001998820463494,-0.4810884909919636
Small- and Mid-Sized Office,98121,DOWNTOWN,1974,1,5,13320,48505,"Bank Branch, Office",104,4322873,1915699,2407174,141,0.6098130134361454,1.299955654776159
Small- and Mid-Sized Office,98121,DOWNTOWN,1942,1,3,0,64630,Office,22,1408291,1408291,0,10,-0.5945629451366171,-0.801997346085319
Worship Facility,98121,DOWNTOWN,1948,1,2,0,20920,Worship Facility,50,1042108,285047,757062,42,-0.7458786403677171,-0.28854317793595036
Worship Facility,98116,SOUTHWEST,1926,1,2,0,22128,Worship Facility,28,608360,153306,455054,25,-0.9251138319934866,-0.5613157047653025
Retail Store,98133,NORTHWEST,1968,1,1,0,48139,Retail Store,22,859237,468402,390834,24,-0.8214453720363268,-0.5773611475199703
Worship Facility,98116,SOUTHWEST,1949,1,2,0,21364,"K-12 School, Worship Facility",45,965651,162220,803431,44,-0.7774725267859404,-0.2564522924266148
University,98121,DOWNTOWN,1992,1,2,0,28923,College/University,15,439312,174768,264544,15,-0.994968564865922,-0.7217701323119802
University,98121,DOWNTOWN,1928,1,3,0,21600,College/University,15,323739,235546,88193,6,-1.0427261310143885,-0.8661791171039902
Retail Store,98105,NORTHEAST,1996,1,1,0,25735,Retail Store,46,1169395,953695,215700,18,-0.6932805653645602,-0.6736338040479769
Retail Store,98105,NORTHEAST,1956,1,2,0,25862,"Other, Retail Store",186,4801472,2185523,2615949,154,0.8075817258611057,1.50854641058684
Retail Store,98105,NORTHEAST,2003,1,2,0,49965,"Other, Retail Store",68,3377210,3247196,130013,30,0.21904213030031514,-0.4810884909919636
Small- and Mid-Sized Office,98104,DOWNTOWN,1929,1,2,0,20028,Office,26,511797,360055,0,14,-0.9650160051653727,-0.737815575066648
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,7,0,23622,"Office, Restaurant",19,552008,419848,132159,10,-0.9483998448822962,-0.801997346085319
Small- and Mid-Sized Office,98104,DOWNTOWN,1902,1,3,0,23563,"Office, Restaurant",38,883198,883198,0,6,-0.8115441058021423,-0.8661791171039902
Mixed Use Property,98104,DOWNTOWN,1903,1,3,0,28600,"Office, Restaurant, Retail Store",41,1062723,697769,364954,24,-0.7373600224712307,-0.5773611475199703
Mixed Use Property,98104,DOWNTOWN,1978,1,2,12379,26160,"Office, Parking, Retail Store",84,2186018,2186018,0,15,-0.27318728950815346,-0.7217701323119802
Small- and Mid-Sized Office,98104,DOWNTOWN,1906,1,5,0,26840,Office,68,1989287,1989287,0,14,-0.3544813092701565,-0.737815575066648
Retail Store,98104,DOWNTOWN,1906,1,2,0,46800,"Office, Retail Store",27,1245188,1245187,0,9,-0.661961059847781,-0.8180427888399868
Small- and Mid-Sized Office,98104,DOWNTOWN,1979,1,3,26640,37350,"Office, Parking",53,2067352,2062620,4732,15,-0.3222229582592799,-0.7217701323119802
Small- and Mid-Sized Office,98121,DOWNTOWN,1908,1,3,0,28800,"Non-Refrigerated Warehouse, Office, Other",38,1345026,923904,421122,29,-0.6207055772598876,-0.4971339337466314
Small- and Mid-Sized Office,98121,DOWNTOWN,1954,1,3,4968,28584,"Office, Parking",64,1696979,643674,1053305,60,-0.4752700630943711,0.00027479164806952494
Retail Store,98121,DOWNTOWN,1931,1,2,0,26270,Retail Store,59,1560462,1064100,496361,34,-0.5316821979172986,-0.41690671997329254
Small- and Mid-Sized Office,98121,DOWNTOWN,1926,1,3,7820,49800,"Office, Parking",48,2385395,2385395,0,17,-0.19079987838286633,-0.6896792468026447
Mixed Use Property,98121,DOWNTOWN,1954,1,2,6080,22616,"Bank Branch, Other, Parking",20,418348,418348,0,3,-1.0036313980253664,-0.9143154453679935
Hotel,98121,DOWNTOWN,1990,1,5,0,57800,Hotel,42,2443065,1375435,1067630,66,-0.1669692359336605,0.09654744817607616
Other,98101,DOWNTOWN,1955,1,2,0,31890,Financial Office,60,1858225,1858224,0,13,-0.4086393058139022,-0.7538610178213158
Small- and Mid-Sized Office,98101,DOWNTOWN,1925,1,2,13660,30438,"Office, Parking",56,1441900,991378,0,42,-0.5806748913465121,-0.28854317793595036
Restaurant,98101,DOWNTOWN,1923,1,3,0,22381,Restaurant,158,3532966,1319044,2213922,127,0.2834042864528815,1.0753194562108102
Retail Store,98121,DOWNTOWN,1925,1,1,1263,23562,"Non-Refrigerated Warehouse, Retail Store",18,439521,264519,175002,11,-0.9948822009978471,-0.7859519033306512
Medical Office,98121,DOWNTOWN,1952,1,4,0,26670,Medical Office,58,1553208,1553175,33,11,-0.5346797266207239,-0.7859519033306512
Other,98121,DOWNTOWN,1922,1,2,0,37740,Fire Station,80,3095882,1699362,1396520,86,0.10279057873190564,0.4174563032694316
Small- and Mid-Sized Office,98121,DOWNTOWN,1965,1,1,0,23752,"Office, Parking, Retail Store",45,1067154,571058,496096,30,-0.7355290258231912,-0.4810884909919636
Hotel,98121,DOWNTOWN,1967,1,4,0,44416,Hotel,51,2669564,1495543,1174021,73,-0.07337435672258594,0.20886554745875055
Mixed Use Property,98121,DOWNTOWN,2006,1,2,22867,10925,"Other - Entertainment/Public Assembly, Parking, Social/Meeting Hall, Swimming Pool",241,2547848,2269684,278164,31,-0.12367035943365819,-0.46504304823729586
K-12 School,98109,MAGNOLIA / QUEEN ANNE,2001,1,1,0,35805,K-12 School,12,431472,246628,184844,12,-0.9982082429793566,-0.7699064605759836
Worship Facility,98103,NORTHWEST,1928,1,2,0,45991,Worship Facility,25,1145536,529029,616507,36,-0.7031396827253301,-0.384815834463957
Residence Hall,98105,NORTHEAST,1921,1,3,0,21499,Residence Hall/Dormitory,28,605131,605130,0,4,-0.9264481330940326,-0.8982700026133257
Small- and Mid-Sized Office,98105,NORTHEAST,1989,1,2,0,20384,Office,72,1791071,1760118,30954,14,-0.43638896704216584,-0.737815575066648
Retail Store,98105,NORTHEAST,1956,1,2,0,39265,"Non-Refrigerated Warehouse, Office, Other, Retail Store",133,5238803,5009101,229701,47,0.9882974999716246,-0.2083159641626115
Retail Store,98105,NORTHEAST,1956,1,2,0,54284,"Other, Retail Store",124,6778694,6424200,354493,64,1.624617802238835,0.06445656266674062
Retail Store,98105,NORTHEAST,1956,1,1,0,23409,"Other, Retail Store",109,2545405,2314166,231239,28,-0.12467986627436237,-0.5131793765012992
Retail Store,98105,NORTHEAST,1997,1,1,0,63153,"Non-Refrigerated Warehouse, Other, Retail Store",74,4644178,4312919,331258,48,0.7425840308133272,-0.19227052140794373
Hotel,98105,NORTHEAST,1961,2,2,0,24100,Hotel,51,1587455,817987,769468,47,-0.5205280357596531,-0.2083159641626115
Restaurant,98101,DOWNTOWN,1923,1,3,0,33600,"Office, Restaurant",133,4475650,2941315,1534335,102,0.6729441745504564,0.674183387344116
Other,98121,DOWNTOWN,1927,1,4,0,32356,"Bank Branch, Financial Office",57,1857155,974524,0,75,-0.4090814557605061,0.2409564329680861
Hotel,98121,DOWNTOWN,1960,1,7,12960,48220,Hotel,65,3993913,1859869,2134044,126,0.47387876443162397,1.0592740134561425
Small- and Mid-Sized Office,98121,DOWNTOWN,1978,1,5,11250,32256,"Office, Parking",106,3460276,1834098,1626177,99,0.2533670157812538,0.6260470590801126
Worship Facility,98115,NORTHWEST,1910,1,2,0,23931,Worship Facility,21,496477,167075,329402,19,-0.9713466006625433,-0.6575883612933091
Worship Facility,98103,NORTHWEST,1948,1,2,0,21393,Worship Facility,40,845961,266359,579602,33,-0.8269313371682092,-0.43295216272796033
Mixed Use Property,98144,SOUTHEAST,1990,1,2,0,47560,"Distribution Center, Non-Refrigerated Warehouse, Office",24,1132490,583296,549194,33,-0.708530606279905,-0.43295216272796033
Senior Care Community,98104,EAST,2006,1,6,0,62334,"Bank Branch, Parking, Senior Care Community",21,1076733,481168,595565,35,-0.731570750740463,-0.40086127721862475
Residence Hall,98105,NORTHEAST,1930,1,3,0,20960,Residence Hall/Dormitory,72,1500310,328800,1171510,65,-0.556538462952926,0.08050200542140838
University,98121,DOWNTOWN,1910,1,3,0,28800,College/University,25,717056,642346,74710,8,-0.8801980090065112,-0.8340882315946546
K-12 School,98121,DOWNTOWN,1957,1,2,0,21600,K-12 School,58,1261537,609724,651813,39,-0.655205256598222,-0.3366795061999537
K-12 School,98101,DOWNTOWN,1995,1,3,0,22860,K-12 School,41,931149,931148,0,6,-0.7917295898305475,-0.8661791171039902
Worship Facility,98105,NORTHEAST,1972,1,1,0,26366,"Parking, Worship Facility",34,888032,323802,564230,32,-0.8095465797816904,-0.44899760548262807
Worship Facility,98118,SOUTHEAST,1965,1,2,0,21732,Worship Facility,40,860364,479159,381205,24,-0.8209796683075206,-0.5773611475199703
Mixed Use Property,98107,BALLARD,1945,1,1,0,21060,"Non-Refrigerated Warehouse, Office, Other, Retail Store",14,350265,258178,92087,7,-1.0317649445811021,-0.8501336743493224
Mixed Use Property,98107,BALLARD,1960,1,4,0,20539,"Medical Office, Multifamily Housing, Office, Restaurant, Retail Store",81,1678459,1123427,555032,37,-0.482922976188862,-0.3687703917092892
K-12 School,98115,NORTHEAST,1958,1,1,0,38624,K-12 School,34,1424157,798804,625352,39,-0.5880067291994037,-0.3366795061999537
Retail Store,98105,NORTHEAST,1900,1,3,0,32960,Retail Store,25,813641,813641,0,6,-0.8402867449011436,-0.8661791171039902
Other,98105,NORTHEAST,1921,1,3,0,29636,"Multifamily Housing, Other - Entertainment/Public Assembly",23,688642,688642,0,5,-0.8919393628222166,-0.8822245598586579
Hotel,98105,NORTHEAST,1930,1,3,0,20571,Hotel,35,716280,716279,0,5,-0.8805186710238614,-0.8822245598586579
Worship Facility,98105,NORTHEAST,1926,1,2,0,47992,"Other, Worship Facility",63,3040196,934028,2106168,118,0.07977977319303836,0.9309104714188002
Residence Hall,98105,NORTHEAST,1993,1,3,0,28572,"Parking, Residence Hall/Dormitory",124,2717863,1187175,1530688,90,-0.05341603871228263,0.4816380742881027
Residence Hall,98104,EAST,1982,1,15,31535,84240,"Office, Residence Hall/Dormitory",16,2882490,2882489,0,20,0.014611829754604967,-0.6415429185386413
Worship Facility,98115,NORTHEAST,2000,1,2,0,31386,Worship Facility,38,1128179,710478,417701,27,-0.710312016018045,-0.529224819255967
K-12 School,98115,NORTHEAST,1989,5,3,0,21500,K-12 School,70,6689184,3307692,3381491,203,1.5876300996962927,2.294773105565561
Small- and Mid-Sized Office,98103,LAKE UNION,2012,1,2,26497,57619,Office,48,2641682,2605669,36012,20,-0.08489587523773692,-0.6415429185386413
K-12 School,98144,GREATER DUWAMISH,1971,1,1,0,55206,K-12 School,42,2345752,1359846,985906,62,-0.2071813272924184,0.03236567715740507
Senior Care Community,98144,SOUTHEAST,1981,1,3,0,78374,"Parking, Senior Care Community",57,3321036,3321035,0,23,0.19582967132785653,-0.593406590274638
Mixed Use Property,98107,BALLARD,2007,1,2,0,38784,"Non-Refrigerated Warehouse, Office",55,1841154,1553414,287740,26,-0.4156934569713565,-0.5452702620106347
Other,98134,GREATER DUWAMISH,1969,1,2,0,41790,"Office, Social/Meeting Hall",52,2177075,1782740,394335,33,-0.27688275396841444,-0.43295216272796033
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,5,0,39960,"Office, Other",54,2178690,1424622,754068,50,-0.27621539680601687,-0.1601796358986082
Warehouse,98101,DOWNTOWN,1900,1,5,0,33300,"Non-Refrigerated Warehouse, Retail Store",3,90559,90559,0,1,-1.1390817614341182,-0.9464063308773291
Hotel,98101,DOWNTOWN,1926,1,11,0,36240,Hotel,59,2147968,456350,533500,121,-0.28891047218878957,0.9790467996828036
Other,98101,DOWNTOWN,1922,1,3,6960,32360,Social/Meeting Hall,77,3042876,957761,919779,145,0.08088721418079407,1.3641374257948302
Other,98104,DOWNTOWN,1908,1,5,0,41536,Performing Arts,66,2735166,2735166,0,19,-0.04626601952902255,-0.6575883612933091
Hotel,98104,DOWNTOWN,1909,1,6,0,35820,Hotel,93,3321603,993349,2328254,131,0.19606396947713173,1.1395012272294813
K-12 School,98116,SOUTHWEST,1922,1,2,0,33462,K-12 School,69,3987216,574940,3412276,185,0.4711114016349822,2.005955135981541
K-12 School,98116,SOUTHWEST,1965,1,3,0,49744,K-12 School,42,2096836,478349,1618486,89,-0.31003945449697046,0.4655926315334349
Worship Facility,98116,SOUTHWEST,1923,1,2,0,37816,"K-12 School, Worship Facility",37,1411306,682782,728523,43,-0.593317074025392,-0.2724977351812826
Mixed Use Property,98116,SOUTHWEST,1926,1,2,0,23315,"Office, Restaurant, Retail Store",81,1354001,799029,554971,35,-0.6169968896236535,-0.40086127721862475
Mixed Use Property,98116,SOUTHWEST,1930,1,2,0,20700,"Non-Refrigerated Warehouse, Office, Other - Recreation, Restaurant",206,4265815,821211,3444604,189,0.586235264227427,2.070136907000212
Other,98116,SOUTHWEST,1948,1,1,13124,28397,"Other - Recreation, Parking, Restaurant",116,3343550,1676726,1666824,100,0.2051330020735028,0.6420925018347804
Supermarket / Grocery Store,98126,SOUTHWEST,1946,1,2,0,25762,Supermarket/Grocery Store,74,1906385,1906385,0,13,-0.3887384259742324,-0.7538610178213158
Other,98126,SOUTHWEST,1984,1,1,0,33334,"Fitness Center/Health Club/Gym, Swimming Pool",122,6118300,2484706,3633594,210,1.3517269874373639,2.407091204848235
Small- and Mid-Sized Office,98126,SOUTHWEST,1981,1,3,0,43387,Office,60,2686765,2352594,334171,34,-0.06626648641274045,-0.41690671997329254
Mixed Use Property,98125,NORTH,1979,1,1,0,39350,"Food Service, Retail Store, Supermarket/Grocery Store",6,267135,267135,0,2,-1.066116276413987,-0.9303608881226613
Other,98125,NORTH,1949,1,1,0,22405,"Other, Retail Store",189,3498215,1110079,2388136,135,0.2690443305702328,1.2036829982481525
Other,98125,NORTH,2013,1,1,0,32590,Other,42,1361794,632722,729072,43,-0.6137766330499295,-0.2724977351812826
