PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,z_SiteEnergyUse(kBtu),z_TotalGHGEmissions
Hotel,98109,MAGNOLIA / QUEEN ANNE,2002,1,6,36934,59976,"Hotel, Parking",86,5155568,2637011,2518558,152,0.9539027795925776,1.4764555250775044
Hotel,98105,NORTHEAST,1962,2,4,0,50017,"Hotel, Swimming Pool",109,5448975,2128306,3320669,191,1.075145666866622,2.102227792509548
K-12 School,98112,EAST,1923,1,3,0,67743,K-12 School,39,2646879,1337786,1309093,79,-0.082748348814839,0.3051382039867572
K-12 School,98112,EAST,1908,1,6,0,194104,K-12 School,32,6219842,1887893,4331949,243,1.3936866041458302,2.9365908157522718
Small- and Mid-Sized Office,98144,SOUTHEAST,2003,1,3,35752,63681,"Office, Parking",77,4897760,4897760,0,34,0.8473702623644719,-0.41690671997329254
K-12 School,98108,GREATER DUWAMISH,1957,1,1,0,130862,K-12 School,48,6456026,2262820,4193207,238,1.4912835602100443,2.856363601978933
K-12 School,98118,SOUTHEAST,1989,1,3,0,59955,K-12 School,27,1633399,1436416,196983,20,-0.5015428608561278,-0.6415429185386413
K-12 School,98119,MAGNOLIA / QUEEN ANNE,1964,1,2,0,93218,K-12 School,31,2887392,1486758,1400634,85,0.01663745502399992,0.4014108605147638
Other,98115,NORTHEAST,1941,1,4,0,56521,Other,130,6357632,6357631,0,44,1.4506247734379418,-0.2564522924266148
Other,98115,NORTHEAST,1929,1,2,0,206934,"Other, Parking",36,4253578,2001103,2252474,134,0.5811786390904246,1.1876375554934846
Hotel,98133,NORTHWEST,2001,1,4,0,51390,"Hotel, Parking",70,3611538,1398289,2213249,127,0.3158721421580835,1.0753194562108102
K-12 School,98133,NORTHWEST,1963,1,2,0,131013,K-12 School,30,3894584,1775488,2119097,125,0.4328336129865544,1.0432285707014748
Hotel,98133,NORTHWEST,2002,1,3,0,69138,Hotel,46,3242458,1802889,1439568,89,0.16335933627715954,0.4655926315334349
Hotel,98104,DOWNTOWN,1904,1,5,0,190980,"Hotel, Parking",34,6505995,4402910,2103084,142,1.5119319627164491,1.3160010975308267
K-12 School,98107,BALLARD,1991,1,2,0,55513,K-12 School,26,1513571,1513571,0,11,-0.551058696184781,-0.7859519033306512
Other,98104,DOWNTOWN,2006,1,4,0,61156,"Office, Other",130,9363374,6947270,2416104,177,2.692670254564365,1.8775915939441987
Other,98104,DOWNTOWN,1910,1,4,13820,59000,Museum,35,2010455,1311669,698785,46,-0.34573417836388304,-0.22436140691727927
Hotel,98109,MAGNOLIA / QUEEN ANNE,1996,1,4,14200,148022,"Hotel, Parking",70,7946961,4197462,3749499,228,2.1073740561352516,2.695909174432255
K-12 School,98144,SOUTHEAST,1990,1,4,0,289588,K-12 School,30,8819852,6449764,2370086,171,2.4680737842110227,1.7813189374161922
University,98122,EAST,1915,1,3,0,63330,College/University,47,3059758,1911064,1148694,74,0.0878632659551567,0.22491099021341832
Other,98134,GREATER DUWAMISH,1950,1,1,0,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)",109,7475578,4182001,3293576,204,1.9125871698922485,2.3108185483202286
K-12 School,98118,SOUTHEAST,2001,1,3,0,78804,K-12 School,32,2499140,1645214,853926,57,-0.143797686161869,-0.04786153661593379
K-12 School,98122,CENTRAL,2002,1,3,0,66994,K-12 School,35,2371304,1824845,546459,42,-0.1966226212778162,-0.28854317793595036
K-12 School,98118,GREATER DUWAMISH,2000,1,3,0,98357,K-12 School,35,3456132,1927067,1529064,95,0.2516546144927241,0.5618652880614415
Small- and Mid-Sized Office,98118,GREATER DUWAMISH,1958,1,1,0,54765,"Office, Other",84,4253370,3569337,684032,61,0.5810926884465988,0.016320234402737298
Other,98118,GREATER DUWAMISH,2009,1,5,0,89821,"Food Service, Office, Other - Lodging/Residential",22,1950092,67462,1882631,100,-0.3706776337160837,0.6420925018347804
University,98119,MAGNOLIA / QUEEN ANNE,1980,1,2,0,52611,College/University,78,4116872,2479273,1637598,104,0.5246884048844053,0.7062742728534515
Residence Hall,98119,MAGNOLIA / QUEEN ANNE,2001,1,4,37500,102100,Residence Hall/Dormitory,33,4448582,2316298,2132284,129,0.6617590205741238,1.1074103417201457
K-12 School,98125,NORTH,2011,1,2,0,236758,"K-12 School, Parking",35,8355988,4789948,3566039,223,2.276393931097473,2.6156819606589163
K-12 School,98117,NORTHWEST,2002,1,3,0,62526,K-12 School,32,1986095,1114389,871706,54,-0.3558003210734834,-0.09599786487993711
Small- and Mid-Sized Office,98108,GREATER DUWAMISH,2007,1,3,0,64015,"Non-Refrigerated Warehouse, Office, Other - Services",60,3242078,2657382,584696,50,0.16320231106247776,-0.1601796358986082
Other,98125,NORTH,1964,1,3,0,54224,Other/Specialty Hospital,154,7265178,3344827,3920350,232,1.8256447878684423,2.7600909454509264
Retail Store,98125,NORTH,1965,1,4,0,124342,Retail Store,72,8765978,8653621,112356,66,2.4458117410116382,0.09654744817607616
Other,98133,NORTHWEST,1996,1,3,0,55442,"Financial Office, Medical Office, Parking",86,3191228,1859345,1331883,84,0.14218985799256073,0.38536541776009603
K-12 School,98117,BALLARD,1999,1,2,0,242795,K-12 School,38,9157150,7859464,1297685,124,2.6074534970050616,1.0271831279468069
Self-Storage Facility,98122,EAST,1910,1,5,0,84870,Self-Storage Facility,16,1381590,482635,898955,51,-0.6055964458135071,-0.1441341931439404
K-12 School,98118,SOUTHEAST,1952,1,2,0,173185,K-12 School,35,6127772,1800727,4327044,242,1.3556410475254317,2.920545372997604
K-12 School,98106,DELRIDGE,1963,1,1,0,145341,K-12 School,40,5499097,1864967,3634130,206,1.0958572926831485,2.3429094338295644
Warehouse,98108,GREATER DUWAMISH,1904,1,4,0,114297,Non-Refrigerated Warehouse,18,2100098,912475,1187623,69,-0.3086915169962021,0.14468377644007946
