PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions
Warehouse,98108,GREATER DUWAMISH,1966,1,1,0,115620,Non-Refrigerated Warehouse,34,1951856,1951856,0,14
Distribution Center,98108,GREATER DUWAMISH,1969,1,1,0,71718,Distribution Center,2,151754,151754,0,1
Warehouse,98108,GREATER DUWAMISH,1969,1,1,0,55450,"Non-Refrigerated Warehouse, Office",78,4345698,2149197,2196501,132
Distribution Center,98108,GREATER DUWAMISH,1979,1,1,0,54880,Distribution Center,50,2763597,1240788,1522809,90
Retail Store,98126,DELRIDGE,1992,1,1,0,102500,"Parking, Retail Store",73,7305474,4972873,2332600,159
Supermarket / Grocery Store,98144,GREATER DUWAMISH,1963,1,1,0,50785,Supermarket/Grocery Store,272,7439009,4327325,3111684,195
Mixed Use Property,98104,DOWNTOWN,1902,1,4,0,73320,"Non-Refrigerated Warehouse, Office, Retail Store",20,1141190,681682,459508,29
Warehouse,98134,GREATER DUWAMISH,1946,1,1,0,179413,Non-Refrigerated Warehouse,19,3459543,3459542,0,24
Warehouse,98134,GREATER DUWAMISH,1917,1,1,0,65288,"Non-Refrigerated Warehouse, Office, Other - Services, Retail Store",9,605971,605971,0,4
Warehouse,98106,DELRIDGE,1966,1,1,0,170632,"Non-Refrigerated Warehouse, Office",4,602245,602245,0,4
Retail Store,98105,NORTHEAST,1956,1,2,0,93803,"Non-Refrigerated Warehouse, Other, Restaurant, Retail Store",59,5453438,3884335,1569103,110
Warehouse,98118,GREATER DUWAMISH,1966,1,2,0,123000,"Non-Refrigerated Warehouse, Office",22,3004271,3004271,0,21
Warehouse,98136,GREATER DUWAMISH,1978,1,1,0,60448,"Non-Refrigerated Warehouse, Office",17,1052245,620853,431392,27
Other,98115,NORTH,1987,1,5,0,90266,Financial Office,89,7771934,7771933,0,54
Warehouse,98122,EAST,1988,1,4,0,132828,Non-Refrigerated Warehouse,8,1083730,1083729,0,8
Warehouse,98053,SOUTHWEST,1965,1,1,0,152365,"Non-Refrigerated Warehouse, Office",7,1069750,948207,121543,13
Retail Store,98108,GREATER DUWAMISH,1958,1,1,0,74178,Retail Store,73,5402181,3296324,2105856,135
Warehouse,98125,NORTH,1987,1,4,0,80360,Non-Refrigerated Warehouse,8,686019,437019,249000,16
K-12 School,98116,SOUTHWEST,1950,1,1,0,61183,K-12 School,38,2424724,720406,1704318,96
Other,98134,GREATER DUWAMISH,2008,1,2,0,51856,"Automobile Dealership, Office",37,1938613,1938613,0,14
Worship Facility,98115,NORTHEAST,1957,1,2,0,22220,Worship Facility,35,778356,208060,570296,32
K-12 School,98115,NORTHEAST,1955,1,1,0,46732,K-12 School,46,2331953,753694,1578259,89
Mixed Use Property,98108,GREATER DUWAMISH,1962,1,1,0,44700,"Non-Refrigerated Warehouse, Office, Other",43,2042771,1689972,352799,31
Warehouse,98108,GREATER DUWAMISH,1976,1,1,0,44100,Non-Refrigerated Warehouse,40,1618916,1618916,0,11
Distribution Center,98108,GREATER DUWAMISH,1965,1,1,0,27800,Distribution Center,44,1224186,880605,343581,24
Warehouse,98134,GREATER DUWAMISH,2001,1,1,0,46340,Non-Refrigerated Warehouse,55,2564004,2564004,0,18
Small- and Mid-Sized Office,98122,CENTRAL,1910,1,3,0,38460,Office,51,1950713,1464669,486044,36
Worship Facility,98103,NORTHWEST,1922,1,2,0,21022,Worship Facility,45,945246,137902,807343,44
K-12 School,98116,SOUTHWEST,1954,1,2,0,51489,K-12 School,38,1984068,750281,1233786,71
Distribution Center,98118,GREATER DUWAMISH,1967,1,1,0,48001,Distribution Center,45,2143651,593580,1550071,86
Warehouse,98118,GREATER DUWAMISH,1979,1,1,0,26380,"Non-Refrigerated Warehouse, Office",19,509124,508416,708,4
Warehouse,98118,GREATER DUWAMISH,1969,1,1,0,37351,"Non-Refrigerated Warehouse, Office",65,2559462,1276462,1283000,77
Warehouse,98118,GREATER DUWAMISH,1981,1,1,0,30375,Non-Refrigerated Warehouse,11,345867,345867,0,2
Warehouse,98118,GREATER DUWAMISH,1979,1,1,0,30004,"Non-Refrigerated Warehouse, Office",13,369292,369291,0,3
Worship Facility,98117,BALLARD,1914,1,2,0,33589,Worship Facility,15,509836,111626,398210,22
Small- and Mid-Sized Office,98107,BALLARD,1979,1,3,0,43500,Office,74,3220635,3216396,4239,23
Small- and Mid-Sized Office,98107,BALLARD,1978,1,2,0,28492,Office,67,1896299,1363957,532342,38
Small- and Mid-Sized Office,98107,BALLARD,1963,1,3,0,22325,"Medical Office, Office, Other, Other - Services, Parking, Retail Store",63,1401316,1401316,0,10
Restaurant,98107,BALLARD,1977,1,3,0,22719,"Parking, Restaurant",60,1358519,1358519,0,9
K-12 School,98122,CENTRAL,1925,1,2,0,37327,K-12 School,40,1967476,724560,1242916,71
Retail Store,98144,DOWNTOWN,1917,1,2,0,147545,Retail Store,46,6787070,4133510,2653559,170
Other,98115,NORTH,1923,1,2,0,21462,"Office, Other",43,1114385,1114384,0,8
K-12 School,98103,NORTHWEST,1930,1,2,0,47602,K-12 School,49,2249592,777836,1471756,84
Other,98013,NORTHWEST,1917,1,2,0,28072,Social/Meeting Hall,57,1362523,192436,1170087,63
Restaurant,98121,DOWNTOWN,1955,1,2,0,31020,Restaurant,160,4970047,1221601,3748445,208
Small- and Mid-Sized Office,98121,DOWNTOWN,1917,1,2,0,21600,"Office, Other - Lodging/Residential",76,1636649,1241985,394664,30
Small- and Mid-Sized Office,98121,DOWNTOWN,1942,1,3,0,64630,Office,22,1408291,1408291,0,10
Worship Facility,98121,DOWNTOWN,1948,1,2,0,20920,Worship Facility,50,1042108,285047,757062,42
Worship Facility,98116,SOUTHWEST,1926,1,2,0,22128,Worship Facility,28,608360,153306,455054,25
Retail Store,98133,NORTHWEST,1968,1,1,0,48139,Retail Store,22,859237,468402,390834,24
Worship Facility,98116,SOUTHWEST,1949,1,2,0,21364,"K-12 School, Worship Facility",45,965651,162220,803431,44
University,98121,DOWNTOWN,1992,1,2,0,28923,College/University,15,439312,174768,264544,15
University,98121,DOWNTOWN,1928,1,3,0,21600,College/University,15,323739,235546,88193,6
Retail Store,98105,NORTHEAST,1996,1,1,0,25735,Retail Store,46,1169395,953695,215700,18
Retail Store,98105,NORTHEAST,1956,1,2,0,25862,"Other, Retail Store",186,4801472,2185523,2615949,154
Retail Store,98105,NORTHEAST,2003,1,2,0,49965,"Other, Retail Store",68,3377210,3247196,130013,30
Small- and Mid-Sized Office,98104,DOWNTOWN,1929,1,2,0,20028,Office,26,511797,360055,0,14
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,7,0,23622,"Office, Restaurant",19,552008,419848,132159,10
Small- and Mid-Sized Office,98104,DOWNTOWN,1902,1,3,0,23563,"Office, Restaurant",38,883198,883198,0,6
Mixed Use Property,98104,DOWNTOWN,1903,1,3,0,28600,"Office, Restaurant, Retail Store",41,1062723,697769,364954,24
Small- and Mid-Sized Office,98104,DOWNTOWN,1906,1,5,0,26840,Office,68,1989287,1989287,0,14
Retail Store,98104,DOWNTOWN,1906,1,2,0,46800,"Office, Retail Store",27,1245188,1245187,0,9
Small- and Mid-Sized Office,98121,DOWNTOWN,1908,1,3,0,28800,"Non-Refrigerated Warehouse, Office, Other",38,1345026,923904,421122,29
Retail Store,98121,DOWNTOWN,1931,1,2,0,26270,Retail Store,59,1560462,1064100,496361,34
Hotel,98121,DOWNTOWN,1990,1,5,0,57800,Hotel,42,2443065,1375435,1067630,66
Other,98101,DOWNTOWN,1955,1,2,0,31890,Financial Office,60,1858225,1858224,0,13
Restaurant,98101,DOWNTOWN,1923,1,3,0,22381,Restaurant,158,3532966,1319044,2213922,127
Medical Office,98121,DOWNTOWN,1952,1,4,0,26670,Medical Office,58,1553208,1553175,33,11
Other,98121,DOWNTOWN,1922,1,2,0,37740,Fire Station,80,3095882,1699362,1396520,86
Small- and Mid-Sized Office,98121,DOWNTOWN,1965,1,1,0,23752,"Office, Parking, Retail Store",45,1067154,571058,496096,30
Hotel,98121,DOWNTOWN,1967,1,4,0,44416,Hotel,51,2669564,1495543,1174021,73
K-12 School,98109,MAGNOLIA / QUEEN ANNE,2001,1,1,0,35805,K-12 School,12,431472,246628,184844,12
Worship Facility,98103,NORTHWEST,1928,1,2,0,45991,Worship Facility,25,1145536,529029,616507,36
Residence Hall,98105,NORTHEAST,1921,1,3,0,21499,Residence Hall/Dormitory,28,605131,605130,0,4
Small- and Mid-Sized Office,98105,NORTHEAST,1989,1,2,0,20384,Office,72,1791071,1760118,30954,14
Retail Store,98105,NORTHEAST,1956,1,2,0,39265,"Non-Refrigerated Warehouse, Office, Other, Retail Store",133,5238803,5009101,229701,47
Retail Store,98105,NORTHEAST,1956,1,2,0,54284,"Other, Retail Store",124,6778694,6424200,354493,64
Retail Store,98105,NORTHEAST,1956,1,1,0,23409,"Other, Retail Store",109,2545405,2314166,231239,28
Retail Store,98105,NORTHEAST,1997,1,1,0,63153,"Non-Refrigerated Warehouse, Other, Retail Store",74,4644178,4312919,331258,48
Restaurant,98101,DOWNTOWN,1923,1,3,0,33600,"Office, Restaurant",133,4475650,2941315,1534335,102
Other,98121,DOWNTOWN,1927,1,4,0,32356,"Bank Branch, Financial Office",57,1857155,974524,0,75
Worship Facility,98115,NORTHWEST,1910,1,2,0,23931,Worship Facility,21,496477,167075,329402,19
Worship Facility,98103,NORTHWEST,1948,1,2,0,21393,Worship Facility,40,845961,266359,579602,33
Mixed Use Property,98144,SOUTHEAST,1990,1,2,0,47560,"Distribution Center, Non-Refrigerated Warehouse, Office",24,1132490,583296,549194,33
Senior Care Community,98104,EAST,2006,1,6,0,62334,"Bank Branch, Parking, Senior Care Community",21,1076733,481168,595565,35
Residence Hall,98105,NORTHEAST,1930,1,3,0,20960,Residence Hall/Dormitory,72,1500310,328800,1171510,65
University,98121,DOWNTOWN,1910,1,3,0,28800,College/University,25,717056,642346,74710,8
K-12 School,98121,DOWNTOWN,1957,1,2,0,21600,K-12 School,58,1261537,609724,651813,39
K-12 School,98101,DOWNTOWN,1995,1,3,0,22860,K-12 School,41,931149,931148,0,6
Worship Facility,98105,NORTHEAST,1972,1,1,0,26366,"Parking, Worship Facility",34,888032,323802,564230,32
Worship Facility,98118,SOUTHEAST,1965,1,2,0,21732,Worship Facility,40,860364,479159,381205,24
Mixed Use Property,98107,BALLARD,1945,1,1,0,21060,"Non-Refrigerated Warehouse, Office, Other, Retail Store",14,350265,258178,92087,7
Mixed Use Property,98107,BALLARD,1960,1,4,0,20539,"Medical Office, Multifamily Housing, Office, Restaurant, Retail Store",81,1678459,1123427,555032,37
K-12 School,98115,NORTHEAST,1958,1,1,0,38624,K-12 School,34,1424157,798804,625352,39
Retail Store,98105,NORTHEAST,1900,1,3,0,32960,Retail Store,25,813641,813641,0,6
Other,98105,NORTHEAST,1921,1,3,0,29636,"Multifamily Housing, Other - Entertainment/Public Assembly",23,688642,688642,0,5
Hotel,98105,NORTHEAST,1930,1,3,0,20571,Hotel,35,716280,716279,0,5
Worship Facility,98105,NORTHEAST,1926,1,2,0,47992,"Other, Worship Facility",63,3040196,934028,2106168,118
Residence Hall,98105,NORTHEAST,1993,1,3,0,28572,"Parking, Residence Hall/Dormitory",124,2717863,1187175,1530688,90
Worship Facility,98115,NORTHEAST,2000,1,2,0,31386,Worship Facility,38,1128179,710478,417701,27
K-12 School,98144,GREATER DUWAMISH,1971,1,1,0,55206,K-12 School,42,2345752,1359846,985906,62
Senior Care Community,98144,SOUTHEAST,1981,1,3,0,78374,"Parking, Senior Care Community",57,3321036,3321035,0,23
Mixed Use Property,98107,BALLARD,2007,1,2,0,38784,"Non-Refrigerated Warehouse, Office",55,1841154,1553414,287740,26
Other,98134,GREATER DUWAMISH,1969,1,2,0,41790,"Office, Social/Meeting Hall",52,2177075,1782740,394335,33
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,5,0,39960,"Office, Other",54,2178690,1424622,754068,50
Warehouse,98101,DOWNTOWN,1900,1,5,0,33300,"Non-Refrigerated Warehouse, Retail Store",3,90559,90559,0,1
Other,98104,DOWNTOWN,1908,1,5,0,41536,Performing Arts,66,2735166,2735166,0,19
Hotel,98104,DOWNTOWN,1909,1,6,0,35820,Hotel,93,3321603,993349,2328254,131
K-12 School,98116,SOUTHWEST,1922,1,2,0,33462,K-12 School,69,3987216,574940,3412276,185
K-12 School,98116,SOUTHWEST,1965,1,3,0,49744,K-12 School,42,2096836,478349,1618486,89
Worship Facility,98116,SOUTHWEST,1923,1,2,0,37816,"K-12 School, Worship Facility",37,1411306,682782,728523,43
Mixed Use Property,98116,SOUTHWEST,1926,1,2,0,23315,"Office, Restaurant, Retail Store",81,1354001,799029,554971,35
Mixed Use Property,98116,SOUTHWEST,1930,1,2,0,20700,"Non-Refrigerated Warehouse, Office, Other - Recreation, Restaurant",206,4265815,821211,3444604,189
Supermarket / Grocery Store,98126,SOUTHWEST,1946,1,2,0,25762,Supermarket/Grocery Store,74,1906385,1906385,0,13
Other,98126,SOUTHWEST,1984,1,1,0,33334,"Fitness Center/Health Club/Gym, Swimming Pool",122,6118300,2484706,3633594,210
Small- and Mid-Sized Office,98126,SOUTHWEST,1981,1,3,0,43387,Office,60,2686765,2352594,334171,34
Mixed Use Property,98125,NORTH,1979,1,1,0,39350,"Food Service, Retail Store, Supermarket/Grocery Store",6,267135,267135,0,2
Other,98125,NORTH,1949,1,1,0,22405,"Other, Retail Store",189,3498215,1110079,2388136,135
Other,98125,NORTH,2013,1,1,0,32590,Other,42,1361794,632722,729072,43
Warehouse,98108,GREATER DUWAMISH,1985,1,1,0,37500,Non-Refrigerated Warehouse,30,1811506,1799898,11608,13
Medical Office,98122,CENTRAL,1990,1,2,0,39000,Medical Office,67,2615248,2275174,340073,34
Other,98116,SOUTHWEST,1924,1,1,0,22180,"Other - Mall, Restaurant",229,5089083,2671917,2417166,147
K-12 School,98144,GREATER DUWAMISH,1971,1,1,0,51704,K-12 School,35,1799403,1167845,631557,42
Distribution Center,98144,GREATER DUWAMISH,1969,1,1,0,25920,"Distribution Center, Office, Refrigerated Warehouse",47,1219745,1133481,86264,12
Refrigerated Warehouse,98144,GREATER DUWAMISH,1953,1,1,0,25480,Refrigerated Warehouse,29,741287,741287,0,5
Warehouse,98144,GREATER DUWAMISH,1970,1,2,0,31000,Non-Refrigerated Warehouse,74,2301044,2216816,84227,20
Small- and Mid-Sized Office,98144,GREATER DUWAMISH,1961,1,1,0,29740,"Non-Refrigerated Warehouse, Office",49,1467060,1259195,207865,20
Distribution Center,98144,GREATER DUWAMISH,1954,1,1,0,23236,"Distribution Center, Office, Retail Store",19,433871,217294,216577,13
Small- and Mid-Sized Office,98144,SOUTHEAST,2009,1,3,0,38075,"K-12 School, Office, Retail Store",50,1921801,1799412,122389,19
Small- and Mid-Sized Office,98144,SOUTHEAST,1970,1,2,0,39170,Office,60,2130674,1085835,1044839,63
Other,98134,SOUTHEAST,1977,1,1,0,36070,Other - Recreation,22,1441665,1441665,0,10
Other,98144,SOUTHEAST,1963,1,2,0,20047,Other - Services,6,117438,117438,0,1
Retail Store,98134,GREATER DUWAMISH,1914,1,1,0,20000,Retail Store,28,557864,557864,0,4
Warehouse,98134,GREATER DUWAMISH,1955,1,2,0,32400,Non-Refrigerated Warehouse,8,248616,248616,0,2
Other,98119,MAGNOLIA / QUEEN ANNE,1948,1,1,0,27247,"Fitness Center/Health Club/Gym, Office, Other - Recreation, Pre-school/Daycare",90,2332996,884313,1448683,83
Distribution Center,98134,GREATER DUWAMISH,1955,1,1,0,26680,Distribution Center,7,243518,243518,0,2
Warehouse,98106,DELRIDGE,1953,1,1,0,31521,Non-Refrigerated Warehouse,57,1788148,720945,1067203,62
Warehouse,98134,GREATER DUWAMISH,1951,1,1,0,24000,"Non-Refrigerated Warehouse, Office",52,1257034,436193,820840,47
Self-Storage Facility,98134,GREATER DUWAMISH,1952,1,1,0,21900,Self-Storage Facility,61,1333638,112187,1221451,66
Retail Store,98134,GREATER DUWAMISH,1953,1,1,0,39900,"Non-Refrigerated Warehouse, Retail Store",4,145469,49005,96464,5
Warehouse,98134,GREATER DUWAMISH,1961,1,1,0,38005,"Non-Refrigerated Warehouse, Office, Self-Storage Facility",20,752094,632708,119386,11
Distribution Center,98134,GREATER DUWAMISH,1998,1,1,0,35579,Distribution Center,31,1096646,416047,680599,39
Distribution Center,98134,GREATER DUWAMISH,1975,1,1,0,49950,Distribution Center,5,238970,238970,0,2
K-12 School,98112,EAST,2001,1,3,0,62078,K-12 School,32,1955014,1151755,803258,51
Worship Facility,98199,MAGNOLIA / QUEEN ANNE,1947,1,2,0,22612,Worship Facility,32,731322,156920,574402,32
Other,98125,NORTH,1976,1,2,0,38787,"Automobile Dealership, Parking",83,3204686,2225423,979262,68
Warehouse,98134,GREATER DUWAMISH,1938,1,1,0,30545,"Non-Refrigerated Warehouse, Office",52,1577041,481781,1095260,62
K-12 School,98112,MAGNOLIA / QUEEN ANNE,1922,1,3,0,32691,K-12 School,29,971990,472481,499509,30
Worship Facility,98119,MAGNOLIA / QUEEN ANNE,1963,1,2,0,24227,Worship Facility,42,1086678,219393,867285,48
Distribution Center,98108,GREATER DUWAMISH,1956,1,1,0,27000,Distribution Center,24,651293,341140,310153,19
K-12 School,98102,LAKE UNION,1999,1,3,0,95501,K-12 School,32,3009967,2100632,909335,63
Small- and Mid-Sized Office,98104,LAKE UNION,1957,1,2,0,21183,"Office, Parking",26,361542,361542,0,3
Residence Hall,98103,LAKE UNION,1988,1,3,0,21118,Residence Hall/Dormitory,64,1361428,710939,650489,40
Small- and Mid-Sized Office,98103,LAKE UNION,1900,1,2,0,20500,Office,65,1326178,1282333,43845,11
Worship Facility,98115,NORTHEAST,1930,1,2,0,25521,Worship Facility,24,605186,361384,243802,15
K-12 School,98115,NORTHEAST,1986,1,1,0,23190,K-12 School,74,1705515,486316,1219199,68
Small- and Mid-Sized Office,98103,NORTHWEST,1960,1,1,0,20678,Office,33,770333,179517,590816,33
K-12 School,98103,NORTHWEST,1922,1,3,0,28820,K-12 School,77,2595784,680757,1915026,106
Worship Facility,98178,SOUTHEAST,1954,1,2,0,27876,Worship Facility,41,1829981,611581,1218400,69
K-12 School,98109,MAGNOLIA / QUEEN ANNE,1925,1,1,0,48789,K-12 School,27,1298308,857142,441165,29
K-12 School,98118,SOUTHEAST,1925,1,1,0,33105,K-12 School,52,1725336,473807,1251530,70
Warehouse,98108,GREATER DUWAMISH,1977,1,1,0,22320,Non-Refrigerated Warehouse,20,439066,439066,0,3
Small- and Mid-Sized Office,98108,GREATER DUWAMISH,1982,1,2,0,40029,"Non-Refrigerated Warehouse, Office",37,1471914,1471914,0,10
Small- and Mid-Sized Office,98108,GREATER DUWAMISH,1970,1,2,0,28304,Office,47,1269368,1269367,0,9
Other,98108,GREATER DUWAMISH,1970,1,1,0,26400,"Non-Refrigerated Warehouse, Other - Recreation",16,452612,452612,0,3
Warehouse,98108,GREATER DUWAMISH,1968,1,1,0,27680,"Non-Refrigerated Warehouse, Office",64,1778432,642420,1136012,65
Small- and Mid-Sized Office,98108,GREATER DUWAMISH,1969,1,2,0,25872,"Non-Refrigerated Warehouse, Office",69,1787119,1064725,722394,46
Small- and Mid-Sized Office,98108,GREATER DUWAMISH,1969,1,2,0,25872,Office,96,2399354,985457,1413896,82
Warehouse,98108,GREATER DUWAMISH,1969,1,1,0,20500,Non-Refrigerated Warehouse,10,222600,222600,0,2
Small- and Mid-Sized Office,98103,LAKE UNION,1958,1,2,0,21436,Office,25,534704,534704,0,4
Mixed Use Property,98102,NORTHEAST,1998,1,1,0,20233,"Non-Refrigerated Warehouse, Office, Other",31,630250,331967,298283,18
Self-Storage Facility,98101,DOWNTOWN,1928,1,6,0,46580,Self-Storage Facility,15,710275,710275,0,5
Retail Store,98101,DOWNTOWN,1916,1,2,0,25920,Retail Store,18,478690,478690,0,3
Retail Store,98121,DOWNTOWN,1919,1,2,0,25920,Retail Store,26,1011668,867448,144219,14
Hotel,98121,DOWNTOWN,1910,1,8,0,61721,Hotel,52,2897080,2534592,362488,37
Small- and Mid-Sized Office,98121,DOWNTOWN,1919,1,2,0,25920,Office,75,1793851,1057542,736309,46
Small- and Mid-Sized Office,98101,EAST,1925,1,4,0,39760,Office,62,2478960,512225,227114,150
Other,98101,EAST,1920,1,3,0,30971,Other,91,2823184,1314572,1277622,95
Small- and Mid-Sized Office,98101,EAST,1946,1,3,0,22667,Office,166,3767135,1972293,155501,149
Warehouse,98103,LAKE UNION,1927,1,2,0,33840,"Non-Refrigerated Warehouse, Office, Retail Store",66,2227638,1244691,982947,61
Retail Store,98103,LAKE UNION,1911,1,2,0,20516,"Hotel, Retail Store",56,1021797,264984,756812,42
Retail Store,98103,LAKE UNION,1906,1,3,0,27480,"Office, Retail Store",39,1215156,1215156,0,8
Mixed Use Property,98103,LAKE UNION,1947,1,1,0,46958,"Bank Branch, Bar/Nightclub, Office, Parking",39,1818868,1436548,382320,30
Distribution Center,98103,LAKE UNION,1984,1,1,0,26532,Distribution Center,73,1934224,784585,1149639,67
Small- and Mid-Sized Office,98103,LAKE UNION,1981,1,2,0,22388,"Multifamily Housing, Office",26,576405,458439,117966,9
Other,98103,LAKE UNION,1969,1,1,0,30730,Other,99,3050455,1918002,1132453,74
Small- and Mid-Sized Office,98107,LAKE UNION,1986,1,2,0,35600,"Office, Parking",59,2173144,2104103,69040,18
Worship Facility,98119,MAGNOLIA / QUEEN ANNE,1949,1,3,0,62000,"Other, Worship Facility",29,1799664,286965,1512699,82
Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1981,1,2,0,23600,Office,33,776249,776249,0,5
Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1986,1,3,0,40067,Office,58,2303733,2303732,0,16
Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1979,1,3,0,25262,Office,58,1469556,1174674,294882,24
Other,98103,LAKE UNION,1996,1,3,0,53103,Other,126,4877959,4788878,89080,38
Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1980,1,3,0,34106,Office,50,1619177,1619177,0,11
Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1980,1,3,0,34545,Office,67,2313979,2313979,0,16
Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1980,1,3,0,70296,Office,40,2782066,2782066,0,19
Small- and Mid-Sized Office,98104,DOWNTOWN,1902,1,4,0,27838,Office,44,1217509,1217509,0,8
Other,98133,NORTHWEST,1964,1,2,0,92080,Other,56,5155090,3179345,1975745,127
Other,98133,NORTHWEST,1961,1,1,0,20236,Other - Recreation,97,1965182,1187424,777758,50
Small- and Mid-Sized Office,98133,NORTHWEST,1951,1,2,0,39815,"Non-Refrigerated Warehouse, Office",52,2050601,1488811,561790,40
Other,98133,NORTHWEST,1970,1,4,0,25557,Residential Care Facility,89,2280352,2280352,0,16
Other,98133,NORTHWEST,1958,1,2,0,26994,"Office, Other - Services",114,3076813,881662,2195151,123
Warehouse,98133,NORTHWEST,1972,1,1,0,48112,Non-Refrigerated Warehouse,31,1485946,1485946,0,10
Other,98133,NORTHWEST,2009,1,1,0,20909,"Other - Public Services, Parking",63,1208029,678411,529618,33
Other,98133,NORTHWEST,2007,1,2,0,45000,Other - Recreation,131,5912066,2973668,2938397,177
Retail Store,98133,NORTHWEST,1998,1,1,0,26115,Retail Store,65,1689373,1148350,541023,37
Worship Facility,98105,NORTHEAST,1949,1,1,0,26033,"Parking, Worship Facility",38,1149140,340323,808817,45
K-12 School,98109,MAGNOLIA / QUEEN ANNE,2007,1,4,0,48660,K-12 School,38,1881516,822509,1059007,62
Senior Care Community,98109,MAGNOLIA / QUEEN ANNE,1970,1,2,0,46539,Senior Care Community,116,5400050,2306556,3093493,180
Residence Hall,98121,DOWNTOWN,1909,1,4,0,29796,Residence Hall/Dormitory,75,2233262,845812,1387450,80
Retail Store,98121,DOWNTOWN,1920,1,2,0,26400,"Office, Parking, Retail Store",46,983596,761163,222433,17
Small- and Mid-Sized Office,98121,DOWNTOWN,1918,1,3,0,38148,"Office, Retail Store",25,1262256,1262255,0,9
Mixed Use Property,98109,LAKE UNION,1928,1,2,0,28800,"Non-Refrigerated Warehouse, Office",16,456953,249311,207642,13
Worship Facility,98119,MAGNOLIA / QUEEN ANNE,1955,1,5,0,31945,"Parking, Worship Facility",56,1806468,1806468,0,13
Retail Store,98101,DOWNTOWN,1900,1,4,0,34680,Retail Store,34,1169949,774990,394959,26
Retail Store,98101,DOWNTOWN,1915,1,1,0,36504,Retail Store,130,2100983,1968493,132489,21
Small- and Mid-Sized Office,98101,DOWNTOWN,1907,1,6,0,35200,Office,85,2998208,2998208,0,21
Small- and Mid-Sized Office,98101,DOWNTOWN,1907,1,5,0,35840,Office,43,1538751,723240,815511,48
Other,98101,DOWNTOWN,1941,1,2,0,25920,Bank Branch,57,1333432,1333432,0,9
Small- and Mid-Sized Office,98101,DOWNTOWN,1928,1,4,0,30525,"Office, Retail Store",133,2883139,2121106,0,74
Other,98101,EAST,1964,1,4,0,49243,Other/Specialty Hospital,162,8476183,7560588,915594,101
Other,98104,EAST,1912,1,3,0,20411,Social/Meeting Hall,99,2014476,774943,1239533,71
Small- and Mid-Sized Office,98122,EAST,1910,1,3,0,73549,"Office, Worship Facility",38,2828950,927581,1901370,107
Medical Office,98114,EAST,1963,1,3,0,39115,Medical Office,75,3735308,2998320,736988,60
Other,98101,EAST,1916,1,3,0,38038,"Food Service, Office, Other - Entertainment/Public Assembly",30,1107291,425243,0,56
Worship Facility,98104,EAST,1962,1,3,0,37796,"Parking, Worship Facility",46,2465984,883838,202628,123
Small- and Mid-Sized Office,98107,BALLARD,1993,1,1,0,27744,"Data Center, Office, Other",193,5355753,5355752,0,37
Warehouse,98107,BALLARD,1960,1,1,0,36444,Non-Refrigerated Warehouse,4,161311,161311,0,1
Warehouse,98107,BALLARD,1950,1,1,0,27553,Non-Refrigerated Warehouse,35,966677,427592,539085,32
Mixed Use Property,98109,LAKE UNION,1920,1,2,0,25920,"Office, Other, Other - Services, Residence Hall/Dormitory, Restaurant",38,989080,779325,209754,17
Restaurant,98109,LAKE UNION,1919,1,3,0,40686,Restaurant,52,2106074,842032,1264041,73
Retail Store,98109,LAKE UNION,1964,1,2,0,45271,Retail Store,56,2553764,1146853,1406910,83
Small- and Mid-Sized Office,98109,LAKE UNION,1926,1,3,0,26176,Office,41,966907,417532,549375,32
Small- and Mid-Sized Office,98109,LAKE UNION,1926,1,1,0,37740,"Office, Parking",199,7442314,6974197,468117,73
Other,98109,MAGNOLIA / QUEEN ANNE,1961,1,1,0,26000,Other,106,5277482,3179693,0,184
Worship Facility,98109,MAGNOLIA / QUEEN ANNE,2009,1,3,0,23241,Worship Facility,32,739210,403459,335751,21
Other,98109,MAGNOLIA / QUEEN ANNE,2002,1,1,0,21018,Other,84,1761138,1585357,0,25
Other,98109,MAGNOLIA / QUEEN ANNE,1998,1,1,0,30533,Museum,206,5903015,2630916,3272098,192
Other,98109,MAGNOLIA / QUEEN ANNE,1992,1,2,0,40600,Other,56,2485521,1509514,374537,41
Small- and Mid-Sized Office,98109,LAKE UNION,1999,1,4,0,38038,"Office, Parking",53,2003808,2003807,0,14
Small- and Mid-Sized Office,98109,LAKE UNION,1926,1,4,0,35780,"Office, Parking, Retail Store",63,1912761,1912760,0,13
Other,98109,DOWNTOWN,1966,1,1,0,49680,Other,57,2844685,1310105,0,119
