PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions
K-12 School,98117,BALLARD,1999,1,2,0,67235,K-12 School,34,2284134,1564728,719406,49
Small- and Mid-Sized Office,98103,NORTHWEST,1957,1,2,0,91130,"Data Center, Distribution Center, Office, Other, Parking",100,9472358,7093984,2378373,176
K-12 School,98136,SOUTHWEST,1991,1,3,0,58118,K-12 School,24,1407277,1158457,248820,21
Hotel,98133,NORTHWEST,1968,1,4,0,64893,Hotel,96,6197825,2620548,3577277,208
K-12 School,98108,GREATER DUWAMISH,1925,1,1,0,70762,K-12 School,51,3606416,491106,3115310,169
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,3,0,44558,"Office, Restaurant, Self-Storage Facility",38,1677002,1317637,359365,28
Distribution Center,98134,GREATER DUWAMISH,1924,1,2,0,179161,"Data Center, Distribution Center, Office, Other",52,9436408,8772104,664302,96
Warehouse,98134,GREATER DUWAMISH,1965,1,2,0,58640,"Non-Refrigerated Warehouse, Office, Other, Other - Services",56,3928695,3928695,0,27
Warehouse,98134,GREATER DUWAMISH,1916,1,4,0,79600,Non-Refrigerated Warehouse,30,2411402,2411402,0,17
Mixed Use Property,98119,MAGNOLIA / QUEEN ANNE,2002,1,4,0,110785,"Financial Office, Multifamily Housing, Parking, Retail Store, Supermarket/Grocery Store",95,10557910,10139555,418354,93
K-12 School,98106,DELRIDGE,1999,1,1,0,71714,K-12 School,33,2371358,1944216,427142,36
K-12 School,98105,NORTHEAST,1928,1,2,0,55653,K-12 School,25,1377627,6138,1371489,73
Small- and Mid-Sized Office,98125,NORTH,1972,1,5,0,50759,"Office, Restaurant",62,3147042,2558533,588509,49
Worship Facility,98105,NORTHEAST,1952,1,2,0,56772,Worship Facility,43,2439485,975113,1464372,85
Worship Facility,98105,NORTHEAST,1952,1,3,0,103000,Worship Facility,47,4854430,2338435,2515995,150
K-12 School,98115,NORTHEAST,2001,1,3,0,75174,K-12 School,36,2733846,1589543,1144302,72
K-12 School,98119,MAGNOLIA / QUEEN ANNE,2003,1,3,0,75214,K-12 School,31,2334260,1733685,600575,44
K-12 School,98116,SOUTHWEST,2005,1,3,0,134918,K-12 School,28,3822102,2895105,926998,69
K-12 School,98144,CENTRAL,1991,1,2,0,64414,K-12 School,35,2295176,2295176,0,16
K-12 School,98115,NORTHWEST,1927,1,3,0,92437,K-12 School,50,4626443,967866,3658577,201
Other,98101,DOWNTOWN,1914,1,7,0,128766,"Office, Other, Other - Entertainment/Public Assembly",47,6057410,5732650,324760,57
Other,98119,MAGNOLIA / QUEEN ANNE,1973,1,1,0,76086,Other,42,3267564,1563366,1704198,101
Small- and Mid-Sized Office,98104,DOWNTOWN,1914,1,4,0,56500,"Office, Retail Store",34,1380294,887532,0,44
Small- and Mid-Sized Office,98101,DOWNTOWN,1916,1,5,0,73399,"Office, Retail Store",61,3757006,3757005,0,26
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,7,0,89550,"Office, Retail Store, Social/Meeting Hall",48,3903260,3554872,0,52
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,6,0,89355,"Office, Retail Store",47,4178234,4116601,61632,32
Retail Store,98105,NORTHEAST,1978,1,2,0,89200,Retail Store,72,6461937,5499125,962811,89
Small- and Mid-Sized Office,98105,NORTHEAST,1961,1,5,0,99005,Office,59,4728488,2863212,1865277,119
Self-Storage Facility,98101,DOWNTOWN,1964,1,5,0,93660,Self-Storage Facility,9,873222,873222,0,6
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,5,0,50176,"Office, Other, Restaurant",47,2933289,2836654,96634,25
Warehouse,98108,GREATER DUWAMISH,1977,1,1,0,128800,"Non-Refrigerated Warehouse, Other",14,1809102,371850,1437252,79
Mixed Use Property,98108,GREATER DUWAMISH,1970,1,1,0,88400,"Distribution Center, Non-Refrigerated Warehouse, Office",48,4383100,2530658,1852442,116
Warehouse,98133,NORTHWEST,1960,1,1,0,52311,Non-Refrigerated Warehouse,18,930612,16765,913847,49
Warehouse,98107,BALLARD,1973,1,1,0,52500,"Non-Refrigerated Warehouse, Office",72,3989399,3064777,924621,70
Warehouse,98107,BALLARD,1959,1,2,0,57300,"Non-Refrigerated Warehouse, Office",80,4560492,1853914,2706578,157
Retail Store,98101,DOWNTOWN,1914,1,4,0,79957,"Office, Retail Store",80,5252131,5252130,0,37
Large Office,98101,DOWNTOWN,1921,1,4,0,127268,"Non-Refrigerated Warehouse, Office, Retail Store",64,7711758,6039805,957428,148
Small- and Mid-Sized Office,98101,DOWNTOWN,1920,1,8,0,60660,"Office, Retail Store",55,2586116,2586116,0,18
Small- and Mid-Sized Office,98101,DOWNTOWN,1906,1,4,0,63540,Office,62,3518460,2428286,1090173,75
