PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,ElectricityByGFA,FloorsByBuildings
Hotel,98101,DOWNTOWN,1926,1,11,0,83008,Hotel,71,5758795,2811215,2947580,176,33.86679597147263,11
Other,98101,DOWNTOWN,1926,1,8,0,102761,Other - Entertainment/Public Assembly,61,6298132,3636655,385189,222,35.38944735843365,8
K-12 School,98118,SOUTHEAST,1961,1,2,0,56228,K-12 School,26,1539478,936955,602523,39,16.663495055844063,2
Hotel,98105,NORTHEAST,2001,1,6,30586,58006,"Hotel, Parking",63,3663534,2266231,1397303,90,39.06890666482778,6
Other,98101,DOWNTOWN,1930,1,2,0,67224,Automobile Dealership,20,1310237,1310236,0,9,19.490598595739616,2
Hotel,98121,DOWNTOWN,1978,1,5,16200,52210,Hotel,93,4456714,2346349,2110365,128,44.940605248036775,5
Small- and Mid-Sized Office,98070,LAKE UNION,1906,1,3,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",62,4145920,1352843,2793077,158,15.503231647223304,3
Hotel,98105,NORTHEAST,1994,1,4,0,81871,Hotel,82,6668568,3016399,3652169,215,36.843314482539604,4
Self-Storage Facility,98105,NORTHEAST,1955,1,2,0,110356,Self-Storage Facility,12,318365,281265,37100,4,2.5487060060168907,2
K-12 School,98199,MAGNOLIA / QUEEN ANNE,1990,1,2,0,54986,K-12 School,30,1650279,1217589,432690,31,22.143618375586513,2
Small- and Mid-Sized Office,98107,BALLARD,1961,1,2,0,94900,"Non-Refrigerated Warehouse, Office",65,6186462,4291585,1894876,131,45.22218124341412,2
Small- and Mid-Sized Office,98144,GREATER DUWAMISH,1900,1,2,0,52554,"Office, Other - Education",50,2951331,1579749,1371582,84,30.059538760132437,2
Self-Storage Facility,98121,DOWNTOWN,1911,1,3,0,70586,"Office, Self-Storage Facility, Vocational School",31,2158629,1500229,658400,45,21.253917207378233,3
Large Office,98101,DOWNTOWN,1973,1,5,0,168115,"Data Center, Office, Retail Store",56,9536161,9536160,0,66,56.72402819498558,5
Other,98101,DOWNTOWN,1920,1,2,0,57428,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",22,1247362,714939,532423,33,12.44931044089991,2
Small- and Mid-Sized Office,98101,DOWNTOWN,1910,1,8,0,59400,"Office, Retail Store",85,5071974,5071973,0,35,85.38675084175084,8
Hotel,98101,DOWNTOWN,1930,1,20,10043,88591,"Hotel, Parking, Restaurant",55,4841348,4290059,551288,59,48.42544953776343,20
Hotel,98101,DOWNTOWN,1985,1,7,0,71150,"Hotel, Parking, Restaurant, Retail Store",93,5348309,3243900,2104408,134,45.592410400562194,7
Hotel,98109,LAKE UNION,1959,1,5,42546,70627,"Hotel, Parking",75,5284344,2944680,2339663,145,41.69340337264786,5
Hotel,98109,LAKE UNION,2000,1,7,34735,115718,Hotel,61,6715187,3396109,3319078,200,29.34814808413557,7
Hotel,98109,LAKE UNION,1997,1,6,28200,88100,Hotel,66,5827596,3188457,2639138,162,36.19133938706016,6
Hotel,98119,MAGNOLIA / QUEEN ANNE,1998,1,6,36744,118858,Hotel,44,6836900,4558937,2277962,153,38.35616449881371,6
K-12 School,98136,EAST,1911,1,3,0,56072,K-12 School,58,3234788,551867,2682920,146,9.842113710943073,3
Hotel,98109,MAGNOLIA / QUEEN ANNE,1999,1,4,44891,78051,"Hotel, Parking",68,5337334,2423730,2913604,172,31.053157550832147,4
Small- and Mid-Sized Office,98122,CENTRAL,1962,1,2,0,54984,Office,61,3375211,1978230,1396981,88,35.97828459188128,2
Hotel,98109,LAKE UNION,2008,1,6,20732,63371,"Hotel, Parking",58,3706100,2812688,893412,67,44.384466080699376,6
Retail Store,98109,LAKE UNION,1929,1,2,0,58320,Retail Store,15,1049749,361803,687945,39,6.203755144032922,2
Other,98109,MAGNOLIA / QUEEN ANNE,1962,1,2,0,52000,Other,52,2726369,1293349,0,102,24.872096153846154,2
Other,98109,MAGNOLIA / QUEEN ANNE,1928,1,1,0,60696,Other,8,875943,875943,0,6,14.431642941874259,1
Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1986,1,2,2352,63888,"Data Center, Distribution Center, Office, Parking, Retail Store",75,4166306,4166305,0,29,65.21263774104683,2
Small- and Mid-Sized Office,98033,MAGNOLIA / QUEEN ANNE,1970,1,4,25930,50283,"Office, Other, Parking",68,3476212,2944692,531520,49,58.56237694648291,4
Hotel,98109,MAGNOLIA / QUEEN ANNE,2002,1,6,36934,59976,"Hotel, Parking",86,5155568,2637011,2518558,152,43.967770441509934,6
Hotel,98105,NORTHEAST,1962,2,4,0,50017,"Hotel, Swimming Pool",109,5448975,2128306,3320669,191,42.55165243817102,8
K-12 School,98112,EAST,1923,1,3,0,67743,K-12 School,39,2646879,1337786,1309093,79,19.7479591987364,3
Small- and Mid-Sized Office,98144,SOUTHEAST,2003,1,3,35752,63681,"Office, Parking",77,4897760,4897760,0,34,76.91085253058212,3
K-12 School,98118,SOUTHEAST,1989,1,3,0,59955,K-12 School,27,1633399,1436416,196983,20,23.958235343174046,3
K-12 School,98119,MAGNOLIA / QUEEN ANNE,1964,1,2,0,93218,K-12 School,31,2887392,1486758,1400634,85,15.949258726855328,2
Other,98115,NORTHEAST,1941,1,4,0,56521,Other,130,6357632,6357631,0,44,112.48263477291626,4
Other,98115,NORTHEAST,1929,1,2,0,206934,"Other, Parking",36,4253578,2001103,2252474,134,9.670247518532479,2
Hotel,98133,NORTHWEST,2001,1,4,0,51390,"Hotel, Parking",70,3611538,1398289,2213249,127,27.209359797625996,4
K-12 School,98133,NORTHWEST,1963,1,2,0,131013,K-12 School,30,3894584,1775488,2119097,125,13.551998656621862,2
Hotel,98133,NORTHWEST,2002,1,3,0,69138,Hotel,46,3242458,1802889,1439568,89,26.076672741473576,3
Hotel,98104,DOWNTOWN,1904,1,5,0,190980,"Hotel, Parking",34,6505995,4402910,2103084,142,23.05429887946382,5
K-12 School,98107,BALLARD,1991,1,2,0,55513,K-12 School,26,1513571,1513571,0,11,27.26516311494605,2
Other,98104,DOWNTOWN,2006,1,4,0,61156,"Office, Other",130,9363374,6947270,2416104,177,113.59915625613186,4
Other,98104,DOWNTOWN,1910,1,4,13820,59000,Museum,35,2010455,1311669,698785,46,22.231677966101696,4
Hotel,98109,MAGNOLIA / QUEEN ANNE,1996,1,4,14200,148022,"Hotel, Parking",70,7946961,4197462,3749499,228,28.357014497844915,4
University,98122,EAST,1915,1,3,0,63330,College/University,47,3059758,1911064,1148694,74,30.176282962261173,3
Other,98134,GREATER DUWAMISH,1950,1,1,0,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)",109,7475578,4182001,3293576,204,62.0880248233268,1
K-12 School,98118,SOUTHEAST,2001,1,3,0,78804,K-12 School,32,2499140,1645214,853926,57,20.877290492868383,3
K-12 School,98122,CENTRAL,2002,1,3,0,66994,K-12 School,35,2371304,1824845,546459,42,27.238931844642803,3
K-12 School,98118,GREATER DUWAMISH,2000,1,3,0,98357,K-12 School,35,3456132,1927067,1529064,95,19.592576024075562,3
Small- and Mid-Sized Office,98118,GREATER DUWAMISH,1958,1,1,0,54765,"Office, Other",84,4253370,3569337,684032,61,65.17551355792934,1
Other,98118,GREATER DUWAMISH,2009,1,5,0,89821,"Food Service, Office, Other - Lodging/Residential",22,1950092,67462,1882631,100,0.7510715756894267,5
University,98119,MAGNOLIA / QUEEN ANNE,1980,1,2,0,52611,College/University,78,4116872,2479273,1637598,104,47.12461272357492,2
Residence Hall,98119,MAGNOLIA / QUEEN ANNE,2001,1,4,37500,102100,Residence Hall/Dormitory,33,4448582,2316298,2132284,129,22.68656219392752,4
K-12 School,98125,NORTH,2011,1,2,0,236758,"K-12 School, Parking",35,8355988,4789948,3566039,223,20.231409287120183,2
K-12 School,98117,NORTHWEST,2002,1,3,0,62526,K-12 School,32,1986095,1114389,871706,54,17.822809711160158,3
Small- and Mid-Sized Office,98108,GREATER DUWAMISH,2007,1,3,0,64015,"Non-Refrigerated Warehouse, Office, Other - Services",60,3242078,2657382,584696,50,41.51186440677966,3
Retail Store,98125,NORTH,1965,1,4,0,124342,Retail Store,72,8765978,8653621,112356,66,69.59531775264995,4
Other,98133,NORTHWEST,1996,1,3,0,55442,"Financial Office, Medical Office, Parking",86,3191228,1859345,1331883,84,33.536759135673314,3
K-12 School,98117,BALLARD,1999,1,2,0,242795,K-12 School,38,9157150,7859464,1297685,124,32.37078193537758,2
Self-Storage Facility,98122,EAST,1910,1,5,0,84870,Self-Storage Facility,16,1381590,482635,898955,51,5.6867562153882405,5
K-12 School,98106,DELRIDGE,1963,1,1,0,145341,K-12 School,40,5499097,1864967,3634130,206,12.831664843368355,1
Warehouse,98108,GREATER DUWAMISH,1904,1,4,0,114297,Non-Refrigerated Warehouse,18,2100098,912475,1187623,69,7.983367892420623,4
Retail Store,98126,DELRIDGE,1966,1,1,0,64984,Retail Store,45,2944296,2613687,330609,36,40.220469654068694,1
K-12 School,98126,DELRIDGE,1958,1,1,0,46797,K-12 School,44,2075891,797204,1278687,73,17.035365514883434,1
Other,98117,BALLARD,1973,1,3,0,56000,Other,33,1851260,844864,1006396,59,15.086857142857143,3
K-12 School,98118,SOUTHEAST,2004,1,2,0,67371,K-12 School,32,2128459,1445339,683120,46,21.453429517151296,2
Self-Storage Facility,98126,SOUTHWEST,1969,1,2,0,52088,Self-Storage Facility,26,1377520,523765,853755,49,10.055387037321456,2
K-12 School,98103,LAKE UNION,2010,1,3,0,127776,K-12 School,37,4748137,3729930,1018207,80,29.191162659654395,3
Other,98109,LAKE UNION,1900,1,1,0,50000,Museum,176,7548807,3797924,3750882,226,75.95848,1
Warehouse,98109,MAGNOLIA / QUEEN ANNE,1926,1,2,0,50292,"Non-Refrigerated Warehouse, Office, Other - Services, Residence Hall/Dormitory",8,430474,430474,0,3,8.559492563429572,2
K-12 School,98117,BALLARD,1999,1,2,0,67235,K-12 School,34,2284134,1564728,719406,49,23.272521752063657,2
Small- and Mid-Sized Office,98103,NORTHWEST,1957,1,2,0,91130,"Data Center, Distribution Center, Office, Other, Parking",100,9472358,7093984,2378373,176,77.84466147262152,2
K-12 School,98136,SOUTHWEST,1991,1,3,0,58118,K-12 School,24,1407277,1158457,248820,21,19.93284352524175,3
Hotel,98133,NORTHWEST,1968,1,4,0,64893,Hotel,96,6197825,2620548,3577277,208,40.38259904766308,4
K-12 School,98108,GREATER DUWAMISH,1925,1,1,0,70762,K-12 School,51,3606416,491106,3115310,169,6.9402504168904215,1
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,3,0,44558,"Office, Restaurant, Self-Storage Facility",38,1677002,1317637,359365,28,29.571277885003816,3
Distribution Center,98134,GREATER DUWAMISH,1924,1,2,0,179161,"Data Center, Distribution Center, Office, Other",52,9436408,8772104,664302,96,48.962129034778776,2
Warehouse,98134,GREATER DUWAMISH,1965,1,2,0,58640,"Non-Refrigerated Warehouse, Office, Other, Other - Services",56,3928695,3928695,0,27,66.99684515688949,2
Warehouse,98134,GREATER DUWAMISH,1916,1,4,0,79600,Non-Refrigerated Warehouse,30,2411402,2411402,0,17,30.293994974874373,4
Other,98125,NORTH,2008,1,6,335109,84739,"Fast Food Restaurant, Medical Office, Movie Theater, Parking, Retail Store",108,9134963,6995246,2139716,162,82.55049032912827,6
K-12 School,98106,DELRIDGE,1999,1,1,0,71714,K-12 School,33,2371358,1944216,427142,36,27.110689684022645,1
Warehouse,98103,LAKE UNION,1991,1,3,8161,67236,"Non-Refrigerated Warehouse, Parking",8,549181,423381,125800,10,6.296939139746565,3
K-12 School,98116,SOUTHWEST,2002,1,2,0,208981,K-12 School,39,8164853,4894851,3270002,208,23.42246902828487,2
K-12 School,98105,NORTHEAST,1928,1,2,0,55653,K-12 School,25,1377627,6138,1371489,73,0.11029055037464287,2
Small- and Mid-Sized Office,98125,NORTH,1972,1,5,0,50759,"Office, Restaurant",62,3147042,2558533,588509,49,50.40550444256191,5
Worship Facility,98105,NORTHEAST,1952,1,2,0,56772,Worship Facility,43,2439485,975113,1464372,85,17.175949411681813,2
Worship Facility,98105,NORTHEAST,1952,1,3,0,103000,Worship Facility,47,4854430,2338435,2515995,150,22.703252427184466,3
K-12 School,98115,NORTHEAST,2001,1,3,0,75174,K-12 School,36,2733846,1589543,1144302,72,21.14485061324394,3
K-12 School,98119,MAGNOLIA / QUEEN ANNE,2003,1,3,0,75214,K-12 School,31,2334260,1733685,600575,44,23.050030579413406,3
K-12 School,98116,SOUTHWEST,2005,1,3,0,134918,K-12 School,28,3822102,2895105,926998,69,21.458256125943166,3
K-12 School,98144,CENTRAL,1991,1,2,0,64414,K-12 School,35,2295176,2295176,0,16,35.631632874840875,2
K-12 School,98115,NORTHWEST,1927,1,3,0,92437,K-12 School,50,4626443,967866,3658577,201,10.470547508032498,3
Other,98101,DOWNTOWN,1914,1,7,0,128766,"Office, Other, Other - Entertainment/Public Assembly",47,6057410,5732650,324760,57,44.51990432256962,7
K-12 School,98108,GREATER DUWAMISH,2007,1,3,0,204961,K-12 School,40,8190809,4528726,3662082,226,22.09554988510009,3
Other,98119,MAGNOLIA / QUEEN ANNE,1973,1,1,0,76086,Other,42,3267564,1563366,1704198,101,20.547354309597036,1
Small- and Mid-Sized Office,98104,DOWNTOWN,1914,1,4,0,56500,"Office, Retail Store",34,1380294,887532,0,44,15.708530973451328,4
Warehouse,98134,GREATER DUWAMISH,2008,1,4,0,203504,"Non-Refrigerated Warehouse, Other - Services",19,3785282,3785282,0,26,18.600528736535892,4
Large Office,98121,DOWNTOWN,1968,1,3,26731,74003,Office,97,9788717,9788716,0,68,132.2745834628326,3
Small- and Mid-Sized Office,98121,DOWNTOWN,1981,1,4,18504,59158,"Office, Parking",81,5007401,4286102,721298,68,72.45177321748538,4
Small- and Mid-Sized Office,98101,DOWNTOWN,1926,1,10,7757,55652,"Office, Retail Store",67,3444270,1357845,0,171,24.39885359016747,10
Large Office,98101,DOWNTOWN,1930,1,17,30000,174790,"Office, Other - Recreation, Parking, Retail Store",44,7739699,6736076,1003622,100,38.538108587447795,17
Small- and Mid-Sized Office,98101,DOWNTOWN,1916,1,5,0,73399,"Office, Retail Store",61,3757006,3757005,0,26,51.186051581084214,5
Large Office,98121,DOWNTOWN,1968,1,12,0,206000,"Office, Parking",53,8580279,6267781,0,222,30.426121359223302,12
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,7,0,89550,"Office, Retail Store, Social/Meeting Hall",48,3903260,3554872,0,52,39.697063093244,7
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,6,0,89355,"Office, Retail Store",47,4178234,4116601,61632,32,46.07018073974596,6
Small- and Mid-Sized Office,98104,DOWNTOWN,1950,1,6,1392,89699,"Office, Parking",20,1835805,1355021,0,47,15.106311107147237,6
Large Office,98101,DOWNTOWN,1968,1,8,62993,94948,"Office, Parking",44,3743228,3743228,0,26,39.423979441378435,8
Large Office,98101,DOWNTOWN,1972,1,14,23775,162993,"Data Center, Office, Parking",53,9641043,7486064,0,219,45.92874540624444,14
Large Office,98104,DOWNTOWN,1907,1,8,0,201480,"Non-Refrigerated Warehouse, Office, Retail Store",44,8921778,7301810,0,176,36.240867579908674,8
Large Office,98104,DOWNTOWN,1909,1,7,8296,106099,Office,28,2746561,1640689,1105871,70,15.463755549062668,7
Retail Store,98105,NORTHEAST,1978,1,2,0,89200,Retail Store,72,6461937,5499125,962811,89,61.64938340807175,2
Small- and Mid-Sized Office,98105,NORTHEAST,1961,1,5,0,99005,Office,59,4728488,2863212,1865277,119,28.91987273370032,5
Large Office,98105,NORTHEAST,2002,1,6,44248,90803,"Office, Parking",46,4426136,4426136,0,31,48.744380692267875,6
Large Office,98105,NORTHEAST,2002,1,5,82720,137929,"Office, Parking",48,7046346,7046345,0,49,51.086754779633,5
Self-Storage Facility,98101,DOWNTOWN,1964,1,5,0,93660,Self-Storage Facility,9,873222,873222,0,6,9.323318385650225,5
Mixed Use Property,98101,DOWNTOWN,2000,1,11,195621,185760,"Fitness Center/Health Club/Gym, Office, Parking",48,9765777,9671822,93954,72,52.066225236864774,11
Mixed Use Property,98121,DOWNTOWN,1980,1,4,38700,70647,"Laboratory, Office, Parking",116,8218156,7484659,733496,91,105.94447039506278,4
Large Office,98121,DOWNTOWN,1947,1,3,48512,144118,"Office, Parking",37,5357833,5169641,188191,46,35.87089052026811,3
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,5,0,50176,"Office, Other, Restaurant",47,2933289,2836654,96634,25,56.53408003826531,5
Warehouse,98108,GREATER DUWAMISH,1977,1,1,0,128800,"Non-Refrigerated Warehouse, Other",14,1809102,371850,1437252,79,2.8870341614906834,1
Mixed Use Property,98108,GREATER DUWAMISH,1970,1,1,0,88400,"Distribution Center, Non-Refrigerated Warehouse, Office",48,4383100,2530658,1852442,116,28.627352941176472,1
Warehouse,98133,NORTHWEST,1960,1,1,0,52311,Non-Refrigerated Warehouse,18,930612,16765,913847,49,0.3204870868459789,1
Other,98109,LAKE UNION,2009,1,5,69710,71421,"Office, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc)",43,3085814,3085813,0,22,43.205961831954184,5
Large Office,98109,LAKE UNION,2001,1,5,70067,106465,"Office, Parking",56,5803409,5803409,0,40,54.51001737660264,5
Warehouse,98107,BALLARD,1973,1,1,0,52500,"Non-Refrigerated Warehouse, Office",72,3989399,3064777,924621,70,58.37670476190476,1
Warehouse,98107,BALLARD,1959,1,2,0,57300,"Non-Refrigerated Warehouse, Office",80,4560492,1853914,2706578,157,32.354520069808025,2
Large Office,98101,DOWNTOWN,1958,1,10,0,135918,Office,44,6423556,4302353,0,194,31.654034049941878,10
Retail Store,98101,DOWNTOWN,1914,1,4,0,79957,"Office, Retail Store",80,5252131,5252130,0,37,65.68693172580262,4
Large Office,98101,DOWNTOWN,1921,1,4,0,127268,"Non-Refrigerated Warehouse, Office, Retail Store",64,7711758,6039805,957428,148,47.45737341672691,4
Large Office,98101,DOWNTOWN,1926,1,10,0,132326,"Office, Other, Retail Store",53,6029020,5698221,2551,65,43.06199084080226,10
Large Office,98101,DOWNTOWN,1984,1,6,13200,96630,"Office, Other, Parking, Retail Store",88,7335906,7335905,0,51,75.91746869502225,6
Small- and Mid-Sized Office,98101,DOWNTOWN,1920,1,8,0,60660,"Office, Retail Store",55,2586116,2586116,0,18,42.63297065611606,8
Large Office,98101,DOWNTOWN,1929,1,14,0,137350,Office,51,6366084,4107229,0,203,29.903378230797234,14
Large Office,98101,DOWNTOWN,1929,1,15,0,151039,Office,43,5446624,2596546,0,238,17.191228755486993,15
Small- and Mid-Sized Office,98101,DOWNTOWN,1906,1,4,0,63540,Office,62,3518460,2428286,1090173,75,38.216650928548944,4
Large Office,98101,DOWNTOWN,1927,1,10,0,130893,"Medical Office, Office, Supermarket/Grocery Store",57,6962073,6962072,0,49,53.189032262993436,10
Mixed Use Property,98101,DOWNTOWN,1910,1,5,0,79920,"Office, Other, Retail Store",38,3009464,3009464,0,21,37.65595595595595,5
Other,98101,DOWNTOWN,1996,1,6,86429,61423,"Office, Other - Restaurant/Bar, Parking, Retail Store",158,9671619,7122619,2548999,185,115.9601289419273,6
Other,98101,DOWNTOWN,1996,1,4,166960,100375,"Movie Theater, Other - Restaurant/Bar, Parking",75,7273156,5169902,2103253,148,51.50587297633873,4
Large Office,98101,DOWNTOWN,1986,1,12,15140,100717,"Office, Parking, Restaurant",45,4757300,4757299,0,33,47.23431992612965,12
Small- and Mid-Sized Office,98121,DOWNTOWN,1999,1,4,17500,70000,"Office, Other",63,4549892,4549891,0,32,64.99844285714286,4
Small- and Mid-Sized Office,98121,DOWNTOWN,1925,1,4,0,52800,"Office, Restaurant",47,2429021,1831932,597088,44,34.69568181818182,4
Other,98101,EAST,1988,1,9,0,46710,Urgent Care/Clinic/Other Outpatient,89,4169432,2722116,0,131,58.27694283879255,9
Warehouse,98104,GREATER DUWAMISH,2001,1,1,0,123061,Non-Refrigerated Warehouse,16,1987935,1987934,0,14,16.15405368069494,1
Distribution Center,98108,GREATER DUWAMISH,1963,1,1,0,59090,"Distribution Center, Office",47,2756215,634386,2121829,117,10.735928245049925,1
Warehouse,98108,GREATER DUWAMISH,1963,1,1,0,106000,Non-Refrigerated Warehouse,7,763364,763364,0,5,7.201547169811321,1
Distribution Center,98108,GREATER DUWAMISH,1960,1,1,0,119661,Distribution Center,6,775729,774965,764,5,6.4763373195945215,1
Large Office,98109,LAKE UNION,2001,1,7,44728,94472,Office,53,4342597,4342597,0,30,45.96702726733847,7
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1984,1,6,33921,61800,"Office, Parking",32,3063504,3063504,0,21,49.57126213592233,6
Large Office,98109,MAGNOLIA / QUEEN ANNE,1996,2,5,115228,98055,"Office, Parking",54,5661690,5661689,0,39,57.73993167100097,10
Small- and Mid-Sized Office,98125,NORTH,1974,1,5,0,74880,"Office, Parking",72,5134608,5134607,0,36,68.571140491453,5
Small- and Mid-Sized Office,98115,NORTH,1979,1,6,0,88774,"Office, Parking",71,6029122,6029121,0,42,67.91539189402303,6
Large Office,98115,NORTH,1983,1,5,0,122250,"Adult Education, Bank Branch, Office, Parking",44,5535626,5535625,0,39,45.28118609406953,5
Small- and Mid-Sized Office,98115,NORTH,1979,1,4,0,53730,"Office, Parking",88,4742869,4742869,0,33,88.27226875116322,4
Small- and Mid-Sized Office,98101,DELRIDGE,1960,1,3,0,55593,Office,76,4224872,2842549,1382323,93,51.13141942330869,3
Large Office,98109,LAKE UNION,1982,1,4,60960,73096,"Office, Parking",65,4695139,4695138,0,33,64.23248878187589,4
Small- and Mid-Sized Office,98109,MAGNOLIA / QUEEN ANNE,1985,1,4,28800,58195,"Office, Parking",51,2991675,2991674,0,21,51.40774980668442,4
Large Office,98109,LAKE UNION,2009,1,5,66234,118248,"Office, Other, Parking",47,5671256,5651060,20195,40,47.78989919491239,5
Large Office,98109,LAKE UNION,2004,1,6,52582,86700,"Financial Office, Food Service, Office, Other, Parking",37,3238216,3238216,0,23,37.34966551326413,6
Large Office,98109,LAKE UNION,2009,1,5,98700,172371,"Medical Office, Office, Parking",42,7851334,7695280,156054,62,44.64370456747365,5
Warehouse,98109,LAKE UNION,1914,1,5,0,127800,Non-Refrigerated Warehouse,22,2767491,2545590,221900,30,19.91854460093897,5
Large Office,98109,LAKE UNION,2006,1,4,73673,136143,"Fitness Center/Health Club/Gym, Office, Parking, Restaurant",51,6917478,5303806,1613672,123,38.95761074752283,4
Large Office,98109,LAKE UNION,2006,1,6,109905,193198,"Bank Branch, Office, Parking",41,7519466,7147457,372009,70,36.995502023830475,6
Mixed Use Property,98109,LAKE UNION,1954,1,3,0,67380,"Non-Refrigerated Warehouse, Office, Other, Other - Entertainment/Public Assembly, Parking",42,2755829,1566221,1189608,74,23.244597803502522,3
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1974,1,5,20826,67236,"Office, Parking",53,3415561,3415561,0,24,50.79958653102505,5
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1972,1,5,20416,66762,"Office, Parking",54,3632614,3632614,0,25,54.41140169557533,5
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1970,1,5,20416,66762,"Office, Parking",52,3493094,3493093,0,24,52.32157514753902,5
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1971,1,5,21600,66400,"Office, Parking",50,3484916,3484915,0,24,52.483659638554215,5
Medical Office,98105,NORTHEAST,1994,1,4,95281,95995,Medical Office,88,8422861,8005293,417567,78,83.39281212563154,4
Self-Storage Facility,98107,BALLARD,1946,2,2,0,111445,"Fitness Center/Health Club/Gym, Office, Other - Education, Other - Recreation, Other - Restaurant/Bar, Outpatient Rehabilitation/Physical Therapy, Personal Services (Health/Beauty, Dry Cleaning, etc), Restaurant, Retail Store, Self-Storage Facility, Vocat",48,5697472,3007514,2689958,164,26.986531472923865,4
Warehouse,98126,SOUTHWEST,1997,1,4,0,98475,Non-Refrigerated Warehouse,11,1090497,768997,321500,22,7.809058136582889,4
Supermarket / Grocery Store,98134,GREATER DUWAMISH,2008,1,1,0,63225,Supermarket/Grocery Store,103,6522552,6522551,0,45,103.16411229735073,1
Other,98118,DELRIDGE,1955,1,1,0,113780,"Office, Other - Services",31,3574542,1470885,2103657,122,12.92744770609949,1
Warehouse,98134,GREATER DUWAMISH,1999,1,1,0,243044,Non-Refrigerated Warehouse,4,1396082,700977,695105,42,2.8841567781965405,1
Other,98109,MAGNOLIA / QUEEN ANNE,1952,1,3,12998,53464,"Other, Parking",96,6876440,6876438,0,48,128.6180981595092,3
Retail Store,98133,NORTHWEST,1997,1,1,0,131387,Retail Store,81,8773058,7704514,1068542,110,58.63985021349144,1
Warehouse,98133,NORTHWEST,1999,1,3,0,94400,Non-Refrigerated Warehouse,12,784364,680865,103500,10,7.212552966101695,3
Other,98133,NORTHWEST,1964,6,1,0,111900,"Parking, Strip Mall",79,9814820,6390148,3424670,226,57.105880250223414,6
Supermarket / Grocery Store,98133,NORTHWEST,1997,1,1,0,50083,"Parking, Supermarket/Grocery Store",173,8663691,6528390,2135300,159,130.3514166483637,1
Large Office,98103,LAKE UNION,1988,1,3,28645,95426,Office,52,4991360,4989211,2149,35,52.283560036048875,3
Small- and Mid-Sized Office,98103,LAKE UNION,2000,1,4,36528,53472,Office,43,3897738,3897737,0,27,72.89304682824655,4
Small- and Mid-Sized Office,98103,LAKE UNION,2001,1,3,33709,62332,"Office, Parking",87,5413418,5413417,0,38,86.84811974587691,3
Large Office,98103,LAKE UNION,1999,1,4,103032,140302,"Office, Parking",62,8651835,8116657,535178,85,57.851327849923734,4
Warehouse,98108,GREATER DUWAMISH,1967,1,2,0,90000,"Non-Refrigerated Warehouse, Office",16,1429146,1272922,156224,17,14.143577777777777,2
Retail Store,98108,GREATER DUWAMISH,1966,1,1,0,50200,Retail Store,21,1047461,507461,540000,32,10.108784860557769,1
Small- and Mid-Sized Office,98107,BALLARD,1925,1,6,6200,87833,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking, Retail Store",57,4758198,2871051,1887147,120,32.68761171769153,6
Warehouse,98107,BALLARD,1941,1,2,0,63240,Non-Refrigerated Warehouse,4,227567,85409,142158,8,1.3505534471853258,2
Self-Storage Facility,98119,MAGNOLIA / QUEEN ANNE,1988,1,4,23400,106893,"Parking, Self-Storage Facility",4,465533,465533,0,3,4.3551308317663455,4
Warehouse,98119,MAGNOLIA / QUEEN ANNE,1997,1,4,0,106041,Non-Refrigerated Warehouse,11,1123943,739343,384600,26,6.972237153553814,4
Self-Storage Facility,98119,MAGNOLIA / QUEEN ANNE,1956,1,3,0,94470,Self-Storage Facility,11,1000797,432859,567938,33,4.581973113157616,3
Large Office,98104,DOWNTOWN,2002,1,10,38186,143508,"Office, Other, Parking",50,7637986,7637985,0,53,53.22340914792207,10
Retail Store,98105,NORTHEAST,1987,1,2,0,69492,Retail Store,5,318963,318963,0,2,4.5899240200310825,2
Warehouse,98108,GREATER DUWAMISH,1966,1,1,0,22780,Non-Refrigerated Warehouse,18,402051,402051,0,3,17.64929762949956,1
Large Office,98104,DOWNTOWN,1970,1,22,98556,129000,"Office, Parking",37,8493420,8493419,0,59,65.84045736434109,22
Distribution Center,98168,GREATER DUWAMISH,1967,1,1,0,50065,"Distribution Center, Parking",31,1529510,836261,693249,43,16.7035054429242,1
