PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,ElectricityByGFA,FloorsByBuildings
Warehouse,98112,EAST,1920,1,2,0,23040,Non-Refrigerated Warehouse,4,79712,72845,6867,1,3.1616753472222223,2
Warehouse,98122,EAST,1958,1,2,0,61880,Non-Refrigerated Warehouse,10,595936,595937,0,4,9.630526826115062,2
Small- and Mid-Sized Office,98122,EAST,1925,1,2,0,27938,"Office, Retail Store",38,1027394,1024252,3142,7,36.661607845944594,2
Other,98105,NORTHEAST,1924,1,2,0,21600,"Other - Services, Retail Store",38,1623657,1623657,0,11,75.16930555555555,2
Other,98105,NORTHEAST,1929,1,3,0,27908,Other,93,2028126,964426,1063700,63,34.557331231188186,3
K-12 School,98112,CENTRAL,2000,1,2,0,30562,K-12 School,53,1622231,659450,962781,56,21.577449119822003,2
Retail Store,98104,DOWNTOWN,2000,1,3,0,54969,Retail Store,68,3724098,3434704,289394,39,62.48438210627808,3
K-12 School,98122,CENTRAL,1951,1,2,0,36825,"K-12 School, Office, Social/Meeting Hall, Worship Facility",27,1755073,911763,843310,51,24.759348268839105,2
Small- and Mid-Sized Office,98122,EAST,1958,1,3,0,25834,Office,65,2076290,1219253,857036,54,47.195672369745296,3
Worship Facility,98102,EAST,1929,1,1,0,37700,Worship Facility,67,3481728,751827,2729901,150,19.94236074270557,1
K-12 School,98112,EAST,1925,1,2,0,27273,K-12 School,46,1258619,436535,822084,47,16.006123272100613,2
Mixed Use Property,98122,CENTRAL,2004,1,6,0,97229,"Multifamily Housing, Parking, Retail Store",16,1021755,1021754,0,7,10.508737105184666,6
Small- and Mid-Sized Office,98103,NORTHWEST,1982,1,3,0,25111,"Non-Refrigerated Warehouse, Office, Parking",43,954353,557279,397074,25,22.192624746127194,3
